source,name,city,wait_minutes,source_url,detail_url,raw_wait_text,scrape_ts,detail_name,detail_address,detail_city,detail_state,detail_zip,detail_phone,detail_hospital_type,detail_emergency_services,detail_mortality_overall_text,detail_mortality_overall_percent,detail_mortality_overall_direction,detail_mortality_heart_attack_percent,detail_mortality_stroke_percent,detail_mortality_heart_failure_percent,detail_mortality_pneumonia_percent,detail_c_diff_cases,detail_mrsa_cases,detail_avg_time_in_ed_minutes,detail_overall_patient_rating,detail_positive_patient_ratings,detail_negative_patient_ratings
hospitalstats,Mt Sinai Hospital Medical Center,Chicago,202.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/mt-sinai-hospital-medical-center-chicago-il.htm,3h 22m,2025-09-28T06:29:40.694043+00:00,Mt Sinai Hospital Medical Center Ratings,1500 S Fairfield Ave,Chicago,IL,60608,(773) 542-2000,Acute Care Hospitals,YES,2% better,2.0,better,13.9,13.2,10.8,17.6,25.0,6.0,202,BELOW AVERAGE,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty; Rooms were often noisy at night
hospitalstats,Presence Saints Mary And Elizabeth Medical Center,Chicago,211.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/presence-saints-mary-and-elizabeth-medical-center-chicago-il.htm,3h 31m,2025-09-28T06:29:40.694043+00:00,Presence Saints Mary And Elizabeth Medical Center Ratings,2233 W Division St,Chicago,IL,60622,(312) 770-2000,Acute Care Hospitals,YES,16% better,16.0,better,12.3,11.9,10.3,14.0,7.0,4.0,211,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty
hospitalstats,Community First Medical Center,Chicago,228.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/community-first-medical-center-chicago-il.htm,3h 48m,2025-09-28T06:29:40.694043+00:00,Community First Medical Center Ratings,5645 W Addison Street,Chicago,IL,60634,(773) 282-7000,Acute Care Hospitals,YES,8% better,8.0,better,12.0,13.4,10.5,16.2,8.0,0.0,228,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty; Rooms were often noisy at night
hospitalstats,Louis A Weiss Memorial Hospital,Chicago,231.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/louis-a-weiss-memorial-hospital-chicago-il.htm,3h 51m,2025-09-28T06:29:40.694043+00:00,Louis A Weiss Memorial Hospital Ratings,4646 N Marine Drive,Chicago,IL,60640,(773) 878-8700,Acute Care Hospitals,YES,10% better,10.0,better,11.6,12.3,9.8,17.6,5.0,3.0,231,BELOW AVERAGE,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it; Facilities are sometimes dirty
hospitalstats,Advocate Illinois Masonic Medical Center,Chicago,232.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/advocate-illinois-masonic-medical-center-chicago-il.htm,3h 52m,2025-09-28T06:29:40.694043+00:00,Advocate Illinois Masonic Medical Center Ratings,836 West Wellington Avenue,Chicago,IL,60657,(773) 975-1600,Acute Care Hospitals,YES,13% better,13.0,better,12.7,10.0,10.1,17.4,15.0,2.0,232,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty
hospitalstats,Amita Health Resurrection Medical Center,Chicago,235.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/amita-health-resurrection-medical-center-chicago-il.htm,3h 55m,2025-09-28T06:29:40.694043+00:00,Amita Health Resurrection Medical Center Ratings,7435 W Talcott Avenue,Chicago,IL,60631,(773) 774-8000,Acute Care Hospitals,YES,6% better,6.0,better,12.2,14.7,9.5,17.1,28.0,1.0,235,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty
hospitalstats,Roseland Community Hospital,Chicago,240.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/roseland-community-hospital-chicago-il.htm,4h 0m,2025-09-28T06:29:40.694043+00:00,Roseland Community Hospital Ratings,45 W 111th Street,Chicago,IL,60628,(773) 995-3000,Acute Care Hospitals,YES,5% better,5.0,better,,,11.0,17.7,0.0,0.0,240,BELOW AVERAGE,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty; Rooms were often noisy at night
hospitalstats,Advocate Trinity Hospital,Chicago,258.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/advocate-trinity-hospital-chicago-il.htm,4h 18m,2025-09-28T06:29:40.694043+00:00,Advocate Trinity Hospital Ratings,2320 E 93rd St,Chicago,IL,60617,(773) 967-5002,Acute Care Hospitals,YES,22% better,22.0,better,11.1,11.3,8.1,16.0,11.0,3.0,258,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty
hospitalstats,South Shore Hospital,Chicago,264.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/south-shore-hospital-chicago-il.htm,4h 24m,2025-09-28T06:29:40.694043+00:00,South Shore Hospital Ratings,8012 South Crandon Avenue,Chicago,IL,60617,(773) 356-5000,Acute Care Hospitals,YES,13% worse,13.0,worse,,,,20.8,9.0,3.0,264,BELOW AVERAGE,Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it; Rooms were often noisy at night
hospitalstats,Swedish Hospital,Chicago,272.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/swedish-hospital-chicago-il.htm,4h 32m,2025-09-28T06:29:40.694043+00:00,Swedish Hospital Ratings,5145 N California Ave,Chicago,IL,60625,(773) 878-8200,Acute Care Hospitals,YES,2% worse,2.0,worse,12.8,15.2,11.5,18.2,9.0,1.0,272,AVERAGE,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it; Facilities are sometimes dirty
hospitalstats,John H Stroger Jr Hospital,Chicago,294.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/john-h-stroger-jr-hospital-chicago-il.htm,4h 54m,2025-09-28T06:29:40.694043+00:00,John H Stroger Jr Hospital Ratings,1901 W Harrison St,Chicago,IL,60612,(312) 864-6000,Acute Care Hospitals,YES,17% better,17.0,better,12.1,,8.9,15.5,34.0,4.0,294,AVERAGE,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it; Facilities are sometimes dirty
hospitalstats,The University Of Chicago Medical Center,Chicago,298.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/the-university-of-chicago-medical-center-chicago-il.htm,4h 58m,2025-09-28T06:29:40.694043+00:00,The University Of Chicago Medical Center Ratings,5841 South Maryland,Chicago,IL,60637,(773) 702-1000,Acute Care Hospitals,YES,19% better,19.0,better,11.0,12.6,8.0,15.7,106.0,18.0,298,AVERAGE,Nurses usually take time to communicate well,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty
hospitalstats,St Bernard Hospital,Chicago,317.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/st-bernard-hospital-chicago-il.htm,5h 17m,2025-09-28T06:29:40.694043+00:00,St Bernard Hospital Ratings,326 W 64th St,Chicago,IL,60621,(773) 962-3900,Acute Care Hospitals,YES,4% worse,4.0,worse,,,12.6,18.7,16.0,0.0,317,BELOW AVERAGE,Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it
hospitalstats,Rush University Medical Center,Chicago,324.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/rush-university-medical-center-chicago-il.htm,5h 24m,2025-09-28T06:29:40.694043+00:00,Rush University Medical Center Ratings,1653 West Congress Parkway,Chicago,IL,60612,(312) 942-5000,Acute Care Hospitals,YES,44% better,44.0,better,11.4,10.8,5.5,11.6,53.0,14.0,324,VERY GOOD,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean; Rooms were often quiet at night,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it
hospitalstats,University Of Illinois Hospital And Clinics,Chicago,336.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/university-of-illinois-hospital-and-clinics-chicago-il.htm,5h 36m,2025-09-28T06:29:40.694043+00:00,University Of Illinois Hospital And Clinics Ratings,1740 West Taylor St Suite 1400,Chicago,IL,60612,(312) 996-3900,Acute Care Hospitals,YES,16% better,16.0,better,11.8,12.8,9.2,14.7,39.0,11.0,336,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty
hospitalstats,Northwestern Memorial Hospital,Chicago,340.0,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/northwestern-memorial-hospital-chicago-il.htm,5h 40m,2025-09-28T06:29:40.694043+00:00,Northwestern Memorial Hospital Ratings,251 E Huron St,Chicago,IL,60611,(312) 926-2000,Acute Care Hospitals,YES,46% better,46.0,better,9.7,11.2,5.5,12.3,69.0,15.0,340,VERY GOOD,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty
hospitalstats,Jesse Brown Va Medical Center - Va Chicago Healthcare System,Chicago,,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/jesse-brown-va-medical-center--va-chicago-healthcare-system-chicago-il.htm,,2025-09-28T06:29:40.694043+00:00,Jesse Brown Va Medical Center - Va Chicago Healthcare System Ratings,820 S Damen Street,Chicago,IL,60612,(312) 569-8387,Acute Care - Veterans Administration,YES,35% better,35.0,better,10.9,,6.3,14.4,,,0,AVERAGE,Nurses usually take time to communicate well,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty
hospitalstats,Ann & Robert H Lurie Childrens Hospital Of Chicago,Chicago,,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/ann-robert-h-lurie-childrens-hospital-of-chicago-chicago-il.htm,,2025-09-28T06:29:40.694043+00:00,Ann & Robert H Lurie Childrens Hospital Of Chicago Ratings,"225 E Chicago Ave, Box 140",Chicago,IL,60611,(312) 227-4000,Childrens,YES,,,,,,,,,,0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty
hospitalstats,Hartgrove Hospital,Chicago,,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/hartgrove-hospital-chicago-il.htm,,2025-09-28T06:29:40.694043+00:00,Hartgrove Hospital Ratings,5730 W Roosevelt Road,Chicago,IL,60644,(773) 413-1700,Psychiatric,YES,,,,,,,,,,0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty
hospitalstats,Montrose Behavioral Health Hospital,Chicago,,https://www.hospitalstats.org/ER-Wait-Time/Chicago-IL-Metro.htm,https://www.hospitalstats.org/hospital-ratings/montrose-behavioral-health-hospital-chicago-il.htm,,2025-09-28T06:29:40.694043+00:00,Montrose Behavioral Health Hospital Ratings,4720 N Clarendon Avenue,Chicago,IL,60640,(773) 878-9700,Psychiatric,YES,,,,,,,,,,0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty
