geo_level,geo_code,geo_description,drg_code,drg_description,total_discharges,average_submitted_covered_charge,average_total_payment_amount,average_medicare_payment_amount
National,,National,023,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,12753,261265.67,54662.59,46937.98
National,,National,024,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,4979,175747.89,36080.36,30564.73
National,,National,025,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,22845,216784.93,44448.62,37272.64
National,,National,026,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,6398,155406.23,30450.07,24911.48
National,,National,027,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,7675,130899.78,25542.94,20276.94
National,,National,028,SPINAL PROCEDURES WITH MCC,2303,279482.17,58840.0,48848.08
National,,National,029,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,3131,159714.15,33766.17,26915.89
National,,National,030,SPINAL PROCEDURES WITHOUT CC/MCC,880,105795.3,22380.83,17221.22
National,,National,031,VENTRICULAR SHUNT PROCEDURES WITH MCC,902,190275.26,40242.12,33261.19
National,,National,032,VENTRICULAR SHUNT PROCEDURES WITH CC,2007,104644.56,20395.99,16583.75
National,,National,033,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,2297,80950.36,16221.88,13505.14
National,,National,034,CAROTID ARTERY STENT PROCEDURES WITH MCC,1930,176346.83,35205.18,31357.6
National,,National,035,CAROTID ARTERY STENT PROCEDURES WITH CC,5576,105028.51,19608.3,16924.0
National,,National,036,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,8039,82027.86,15754.08,13227.83
National,,National,037,EXTRACRANIAL PROCEDURES WITH MCC,2548,161786.52,31557.78,27079.64
National,,National,038,EXTRACRANIAL PROCEDURES WITH CC,7936,83869.53,14586.72,11803.14
National,,National,039,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,12974,59830.78,10254.7,7699.47
National,,National,040,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",3629,178589.19,37138.31,31167.06
National,,National,041,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUR",5043,113283.51,21569.34,17504.25
National,,National,042,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC",1520,93459.23,17829.08,13650.36
National,,National,052,SPINAL DISORDERS AND INJURIES WITH CC/MCC,950,89446.93,20698.96,16722.1
National,,National,053,SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC,191,51666.83,11258.01,7868.6
National,,National,054,NERVOUS SYSTEM NEOPLASMS WITH MCC,10250,72216.17,14221.68,11178.41
National,,National,055,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,2547,56044.11,10713.0,7895.75
National,,National,056,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,14380,92892.48,21684.42,18112.73
National,,National,057,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,26465,53623.18,13216.51,10695.31
National,,National,058,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC,759,83639.17,18508.11,13974.62
National,,National,059,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC,1697,59219.26,11976.97,8845.12
National,,National,060,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC,1143,44735.57,9444.95,6249.22
National,,National,061,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",4281,139092.35,26042.3,22199.8
National,,National,062,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",7928,96626.4,17145.89,13787.23
National,,National,063,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",1502,79537.15,14758.54,10875.65
National,,National,064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,68105,92410.89,18108.98,15087.28
National,,National,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,74971,52520.78,9518.07,7181.67
National,,National,066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,19239,40193.62,6911.42,4580.9
National,,National,067,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC,1223,74792.17,13286.18,11049.57
National,,National,068,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,4612,50581.37,8254.12,6220.64
National,,National,069,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,28277,47212.41,7445.37,5578.32
National,,National,070,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,17229,73029.62,15693.27,13316.09
National,,National,071,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,16686,47659.75,9770.72,7818.59
National,,National,072,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC,2775,39847.57,7320.76,5451.07
National,,National,073,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,5110,70065.55,14802.25,12413.48
National,,National,074,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,11648,51280.09,10131.22,7772.87
National,,National,075,VIRAL MENINGITIS WITH CC/MCC,411,77856.75,17502.61,13677.99
National,,National,076,VIRAL MENINGITIS WITHOUT CC/MCC,74,42276.01,10882.84,6317.35
National,,National,077,HYPERTENSIVE ENCEPHALOPATHY WITH MCC,1449,72239.32,14354.37,11958.44
National,,National,078,HYPERTENSIVE ENCEPHALOPATHY WITH CC,1996,51118.47,8848.01,6845.81
National,,National,079,HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC,229,40820.69,6614.53,5039.51
National,,National,080,NONTRAUMATIC STUPOR AND COMA WITH MCC,1535,87082.3,19533.96,16846.2
National,,National,081,NONTRAUMATIC STUPOR AND COMA WITHOUT MCC,688,45428.68,9385.78,7096.17
National,,National,082,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,10103,110418.74,22831.13,19327.43
National,,National,083,TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,10349,67826.57,13287.13,10718.17
National,,National,084,TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC,3563,49341.03,9421.6,7108.71
National,,National,085,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,8406,103546.03,21124.34,17911.63
National,,National,086,TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,12051,64410.56,12098.28,9693.86
National,,National,087,TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,4591,46826.06,8674.2,6352.46
National,,National,088,CONCUSSION WITH MCC,513,71710.63,14471.43,11978.24
National,,National,089,CONCUSSION WITH CC,1313,57121.64,10809.58,8406.35
National,,National,090,CONCUSSION WITHOUT CC/MCC,358,43622.53,8172.46,5851.22
National,,National,091,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,16081,79018.77,16830.07,14025.9
National,,National,092,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,20316,49735.77,9849.15,7728.84
National,,National,093,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC,5244,41607.79,7607.39,5636.22
National,,National,094,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC,1406,154444.47,34300.25,28629.11
National,,National,095,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC,1229,114995.41,23463.44,19492.62
National,,National,096,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC,336,118393.72,22371.07,16510.42
National,,National,097,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC,1799,165583.34,38843.48,31824.74
National,,National,098,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC,1176,106749.17,22123.83,16846.14
National,,National,099,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC,248,67975.51,14050.05,9683.22
National,,National,100,SEIZURES WITH MCC,22583,89653.86,18257.87,15402.42
National,,National,101,SEIZURES WITHOUT MCC,27602,45462.38,9134.34,6894.31
National,,National,102,HEADACHES WITH MCC,1088,58558.0,11930.53,8879.23
National,,National,103,HEADACHES WITHOUT MCC,6391,46349.63,8793.44,5758.01
National,,National,113,ORBITAL PROCEDURES WITH CC/MCC,417,131912.83,27542.03,22592.08
National,,National,114,ORBITAL PROCEDURES WITHOUT CC/MCC,75,77067.15,14358.04,11559.63
National,,National,115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,659,83353.53,17055.66,13064.85
National,,National,116,INTRAOCULAR PROCEDURES WITH CC/MCC,369,89319.17,22081.46,18071.02
National,,National,117,INTRAOCULAR PROCEDURES WITHOUT CC/MCC,113,62218.81,12300.36,9352.6
National,,National,121,ACUTE MAJOR EYE INFECTIONS WITH CC/MCC,618,51513.87,15448.73,11566.95
National,,National,122,ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC,107,31065.11,9595.92,6008.86
National,,National,123,NEUROLOGICAL EYE DISORDERS,2995,47068.69,8133.04,5769.67
National,,National,124,OTHER DISORDERS OF THE EYE WITH MCC OR THROMBOLYTIC AGENT,1025,66215.65,14209.61,11392.14
National,,National,125,OTHER DISORDERS OF THE EYE WITHOUT MCC,3221,42874.01,8953.9,6565.95
National,,National,135,SINUS AND MASTOID PROCEDURES WITH CC/MCC,240,126012.98,26207.3,21488.72
National,,National,136,SINUS AND MASTOID PROCEDURES WITHOUT CC/MCC,79,60042.62,12791.75,9802.86
National,,National,137,MOUTH PROCEDURES WITH CC/MCC,527,68151.35,15741.55,12557.89
National,,National,138,MOUTH PROCEDURES WITHOUT CC/MCC,213,47035.5,9355.12,6564.0
National,,National,139,SALIVARY GLAND PROCEDURES,228,71283.48,13323.9,10374.42
National,,National,140,MAJOR HEAD AND NECK PROCEDURES WITH MCC,678,221443.49,44157.51,37369.02
National,,National,141,MAJOR HEAD AND NECK PROCEDURES WITH CC,2302,119854.83,24649.62,19168.57
National,,National,142,MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC,1175,90129.44,18173.94,13780.42
National,,National,143,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH MCC",741,165807.09,36266.85,30083.54
National,,National,144,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH CC",1335,92907.37,19070.06,14785.57
National,,National,145,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC",840,66899.55,13091.11,9863.69
National,,National,146,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC",1210,105303.24,23337.01,18960.87
National,,National,147,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH CC",689,61228.9,12881.58,10239.64
National,,National,148,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITHOUT CC/MCC",156,43344.13,9177.54,6342.15
National,,National,149,DYSEQUILIBRIUM,13868,41287.07,7183.92,5236.71
National,,National,150,EPISTAXIS WITH MCC,726,58085.59,12659.39,10818.96
National,,National,151,EPISTAXIS WITHOUT MCC,1438,32910.35,7397.22,5655.53
National,,National,152,OTITIS MEDIA AND URI WITH MCC,2066,53162.13,11681.65,9375.6
National,,National,153,OTITIS MEDIA AND URI WITHOUT MCC,3585,34652.36,7274.59,5025.51
National,,National,154,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC",1845,74072.09,15380.32,12713.97
National,,National,155,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",3083,44957.45,9158.57,6965.93
National,,National,156,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC",873,33543.98,7137.22,4776.54
National,,National,157,DENTAL AND ORAL DISEASES WITH MCC,1658,76430.08,18100.92,14431.28
National,,National,158,DENTAL AND ORAL DISEASES WITH CC,2892,44856.53,9640.91,7178.63
National,,National,159,DENTAL AND ORAL DISEASES WITHOUT CC/MCC,584,34111.69,7709.14,5332.22
National,,National,163,MAJOR CHEST PROCEDURES WITH MCC,13055,201744.18,43025.53,36990.7
National,,National,164,MAJOR CHEST PROCEDURES WITH CC,15101,122531.52,24555.58,19840.55
National,,National,165,MAJOR CHEST PROCEDURES WITHOUT CC/MCC,6993,96422.18,19019.18,14598.28
National,,National,166,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,8254,167131.07,36325.96,30241.69
National,,National,167,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,4515,89989.71,18001.92,14173.29
National,,National,168,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,1440,71716.89,13736.36,10080.21
National,,National,173,ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS WITH PRINCIPAL DIAGNOSIS PULMONARY EMBOLIS,324,133929.39,26159.06,22577.95
National,,National,175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,27798,62572.77,12835.49,10433.7
National,,National,176,PULMONARY EMBOLISM WITHOUT MCC,17588,39305.55,7937.11,5736.98
National,,National,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,168969,66260.45,16055.85,13857.32
National,,National,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,40367,41605.56,10209.75,8175.98
National,,National,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,7854,33089.61,7835.69,5947.05
National,,National,180,RESPIRATORY NEOPLASMS WITH MCC,15125,82116.86,16343.31,13432.83
National,,National,181,RESPIRATORY NEOPLASMS WITH CC,5228,53897.23,10954.51,8548.46
National,,National,182,RESPIRATORY NEOPLASMS WITHOUT CC/MCC,261,44567.19,8496.53,6317.83
National,,National,183,MAJOR CHEST TRAUMA WITH MCC,4920,72140.71,14767.08,12076.9
National,,National,184,MAJOR CHEST TRAUMA WITH CC,9774,52435.44,10425.17,7718.13
National,,National,185,MAJOR CHEST TRAUMA WITHOUT CC/MCC,2115,39072.1,7910.85,5492.77
National,,National,186,PLEURAL EFFUSION WITH MCC,8244,67922.76,13739.5,11491.45
National,,National,187,PLEURAL EFFUSION WITH CC,4201,46756.41,9693.37,7734.81
National,,National,188,PLEURAL EFFUSION WITHOUT CC/MCC,595,36342.86,6898.41,5207.17
National,,National,189,PULMONARY EDEMA AND RESPIRATORY FAILURE,93906,53991.91,11503.7,9451.25
National,,National,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,59273,47500.95,10060.97,8091.98
National,,National,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,21030,37755.95,8031.95,6235.69
National,,National,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,5223,29023.47,6385.85,4527.09
National,,National,193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,128561,56953.15,11486.38,9428.93
National,,National,194,SIMPLE PNEUMONIA AND PLEURISY WITH CC,44966,36711.41,7765.48,5849.37
National,,National,195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,7931,28940.86,6100.51,4215.22
National,,National,196,INTERSTITIAL LUNG DISEASE WITH MCC,9422,79690.49,17448.89,14357.41
National,,National,197,INTERSTITIAL LUNG DISEASE WITH CC,1616,46247.84,10201.27,7517.23
National,,National,198,INTERSTITIAL LUNG DISEASE WITHOUT CC/MCC,317,34221.89,7265.97,5080.5
National,,National,199,PNEUMOTHORAX WITH MCC,7108,76756.75,16077.75,13393.53
National,,National,200,PNEUMOTHORAX WITH CC,8687,50844.75,10463.19,7782.2
National,,National,201,PNEUMOTHORAX WITHOUT CC/MCC,1069,30833.05,7078.49,4874.58
National,,National,202,BRONCHITIS AND ASTHMA WITH CC/MCC,18859,43004.3,9022.58,6824.7
National,,National,203,BRONCHITIS AND ASTHMA WITHOUT CC/MCC,2463,32274.08,6811.66,4633.08
National,,National,204,RESPIRATORY SIGNS AND SYMPTOMS,4411,41590.33,7843.57,5925.47
National,,National,205,OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC,10091,83811.03,18535.97,14832.36
National,,National,206,OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC,6587,46099.41,9399.45,6941.82
National,,National,207,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,11972,276579.75,59236.8,52457.3
National,,National,208,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,30137,125012.31,24081.96,20955.86
National,,National,212,CONCOMITANT AORTIC AND MITRAL VALVE PROCEDURES,225,539312.95,122391.47,101995.59
National,,National,215,OTHER HEART ASSIST SYSTEM IMPLANT,3861,464135.99,95250.41,83192.84
National,,National,216,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,5794,470110.2,96373.65,84403.59
National,,National,217,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,1804,311542.12,59475.35,50642.59
National,,National,218,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,312,275964.02,49340.25,45010.87
National,,National,219,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,14001,383785.24,81868.17,69272.55
National,,National,220,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,10608,259063.69,52852.94,43052.76
National,,National,221,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,1337,218234.78,44035.39,36801.85
National,,National,222,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITH MC",1243,359113.72,73454.65,62950.91
National,,National,223,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITHOUT",234,239229.47,46930.73,38585.78
National,,National,224,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITH",1353,327425.42,65983.08,56974.56
National,,National,225,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITH",928,234020.2,45607.03,37802.89
National,,National,226,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITH MCC,2611,286589.65,58410.51,51310.51
National,,National,227,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,2108,218194.01,44909.66,38403.3
National,,National,228,OTHER CARDIOTHORACIC PROCEDURES WITH MCC,4787,242546.92,47546.8,42134.68
National,,National,229,OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC,6436,154948.01,28940.07,25414.56
National,,National,231,CORONARY BYPASS WITH PTCA WITH MCC,741,435268.11,80422.48,66722.07
National,,National,232,CORONARY BYPASS WITH PTCA WITHOUT MCC,389,307724.13,55547.27,44688.54
National,,National,233,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC,9977,359042.88,67463.27,56373.97
National,,National,234,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC,9047,250929.87,44364.91,35792.36
National,,National,235,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC,11332,279141.35,54482.26,44644.01
National,,National,236,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,15241,196527.05,36295.37,28866.89
National,,National,239,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC,6763,197584.18,41274.01,36226.22
National,,National,240,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC,5585,121987.39,24249.74,20472.05
National,,National,241,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT CC/MCC,341,64288.67,13755.33,11143.49
National,,National,242,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,15591,152993.92,29749.9,26492.39
National,,National,243,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,20115,106840.51,20045.04,17206.02
National,,National,244,PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,9633,88669.41,16330.35,13519.09
National,,National,245,AICD GENERATOR PROCEDURES,788,230546.24,44400.83,38295.88
National,,National,246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES O,31322,161499.3,27239.77,22803.9
National,,National,247,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC,42731,110403.1,17380.21,13238.51
National,,National,248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITH MCC OR 4+ ARTERI,280,148275.72,27087.86,22368.66
National,,National,249,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITHOUT MCC,292,105621.39,15216.22,12500.77
National,,National,250,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT INTRALUMINAL DEVICE WITH MCC,3532,128148.34,21819.63,18284.64
National,,National,251,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT INTRALUMINAL DEVICE WITHOUT MCC,3084,91382.74,14594.21,11459.85
National,,National,252,OTHER VASCULAR PROCEDURES WITH MCC,20349,160964.54,32269.18,28442.02
National,,National,253,OTHER VASCULAR PROCEDURES WITH CC,17237,125618.78,24229.76,20205.13
National,,National,254,OTHER VASCULAR PROCEDURES WITHOUT CC/MCC,6359,86886.64,16460.48,12888.53
National,,National,255,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH MCC,1340,108957.53,23590.35,20053.07
National,,National,256,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH CC,1125,74446.0,15446.89,12299.38
National,,National,257,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITHOUT CC/MCC,60,45527.88,12216.47,10280.47
National,,National,258,CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MCC,586,128051.45,24965.8,22345.89
National,,National,259,CARDIAC PACEMAKER DEVICE REPLACEMENT WITHOUT MCC,741,88052.06,17201.35,14982.51
National,,National,260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MCC,2374,157769.45,32760.67,28020.52
National,,National,261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH CC,2445,92536.37,17150.59,14335.79
National,,National,262,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITHOUT CC/MCC,801,75276.63,14372.77,11765.98
National,,National,263,VEIN LIGATION AND STRIPPING,219,137035.54,28822.26,21413.25
National,,National,264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,7484,148247.92,31458.58,26924.76
National,,National,265,AICD LEAD PROCEDURES,393,175470.79,38248.91,28537.59
National,,National,266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC,22196,269469.51,57446.09,53625.08
National,,National,267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC,39986,210699.79,44509.09,41231.8
National,,National,268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITH MCC,2749,312436.35,68895.88,60149.76
National,,National,269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITHOUT MCC,11376,180905.83,37510.26,32567.66
National,,National,270,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC,16644,241104.07,48356.16,42140.18
National,,National,271,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC,12480,162787.19,31674.22,26828.56
