provider_ccn,provider_org_name,provider_city,provider_street_address,provider_state_fips,provider_zip5,provider_state_abbreviation,provider_ruca_code,provider_ruca_description,drg_code,drg_description,total_discharges,average_submitted_covered_charge,average_total_payment_amount,average_medicare_payment_amount
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",330,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,27,120550.33,17020.93,15249.52
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",331,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,11,93266.55,12241.45,10711.27
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",371,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH MCC,13,40609.62,12349.46,11139.23
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",372,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,12,29272.83,6781.33,5403.83
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",377,GASTROINTESTINAL HEMORRHAGE WITH MCC,27,51240.22,12669.07,10755.04
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",378,GASTROINTESTINAL HEMORRHAGE WITH CC,60,30058.83,7576.55,6017.32
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",388,GASTROINTESTINAL OBSTRUCTION WITH MCC,13,27967.77,10395.23,8979.77
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",389,GASTROINTESTINAL OBSTRUCTION WITH CC,25,29995.2,6526.76,4784.56
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",391,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC",33,45685.42,10038.73,7740.42
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",392,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",49,25156.41,6302.24,4581.02
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",394,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC,18,27965.5,7239.89,5547.39
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",454,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC,17,188391.35,40161.18,37047.71
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",455,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITHOUT CC/MCC,19,154037.47,30996.53,25744.53
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",472,CERVICAL SPINAL FUSION WITH CC,12,102479.5,19605.0,16066.25
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",480,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC,31,92299.1,20448.87,18614.19
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",481,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC,46,73816.91,15172.04,12824.78
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",521,HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITH MCC,14,83620.43,20282.07,18477.93
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",522,HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITHOUT MCC,27,80596.37,15744.44,13076.7
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",536,FRACTURES OF HIP AND PELVIS WITHOUT MCC,11,15721.18,6258.18,4319.0
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",552,MEDICAL BACK PROBLEMS WITHOUT MCC,15,29006.4,7866.53,5397.07
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",603,CELLULITIS WITHOUT MCC,16,22539.19,6554.81,4429.75
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",637,DIABETES WITH MCC,17,41140.82,10412.41,7535.35
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",640,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC",37,34941.51,9303.24,7907.84
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",641,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",21,18106.71,6001.05,4591.19
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",673,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH MCC,11,103342.09,33074.18,20901.09
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",682,RENAL FAILURE WITH MCC,59,42932.24,11128.39,8992.42
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",683,RENAL FAILURE WITH CC,66,23007.83,6845.89,5279.09
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",689,KIDNEY AND URINARY TRACT INFECTIONS WITH MCC,30,28422.97,8079.77,6640.47
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,40,22508.75,6532.45,4770.32
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,33,37090.09,11400.94,9946.85
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",699,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH CC,14,26874.5,7920.21,6077.07
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",811,RED BLOOD CELL DISORDERS WITH MCC,12,31649.83,10207.67,8829.75
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",812,RED BLOOD CELL DISORDERS WITHOUT MCC,18,25271.56,6949.67,5543.5
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",853,INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH MCC,62,166454.5,33336.21,30511.48
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",854,INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH CC,14,83753.64,14404.21,12323.64
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",870,SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS,25,230134.96,45369.76,41361.68
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,305,58115.69,13804.68,11805.93
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,65,26415.29,7800.95,5817.32
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",884,ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY,26,28126.46,12029.31,10376.73
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",885,PSYCHOSES,90,16245.44,9631.16,7954.08
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",897,"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITHOUT MCC",15,15870.4,6529.2,5252.47
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",948,SIGNS AND SYMPTOMS WITHOUT MCC,15,18916.27,6127.33,4726.4
10001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,1,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",981,EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC,20,159961.75,30640.2,26805.75
10005,Marshall Medical Centers South Campus,Boaz,2505 U S Highway 431 North,1,35957,AL,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",36,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,11,37009.91,12764.91,8954.18
10005,Marshall Medical Centers South Campus,Boaz,2505 U S Highway 431 North,1,35957,AL,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",39,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,12,14950.42,8184.58,6195.17
10005,Marshall Medical Centers South Campus,Boaz,2505 U S Highway 431 North,1,35957,AL,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,22,17252.14,7461.68,5465.77
10005,Marshall Medical Centers South Campus,Boaz,2505 U S Highway 431 North,1,35957,AL,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,11,14339.0,5659.36,3065.27
10005,Marshall Medical Centers South Campus,Boaz,2505 U S Highway 431 North,1,35957,AL,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,51,28183.75,11933.69,10359.08
10005,Marshall Medical Centers South Campus,Boaz,2505 U S Highway 431 North,1,35957,AL,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,16,18833.25,7566.12,6166.12
10005,Marshall Medical Centers South Campus,Boaz,2505 U S Highway 431 North,1,35957,AL,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",189,PULMONARY EDEMA AND RESPIRATORY FAILURE,27,24015.93,8295.96,7290.19
10005,Marshall Medical Centers South Campus,Boaz,2505 U S Highway 431 North,1,35957,AL,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,35,19884.91,7726.86,6135.8
10005,Marshall Medical Centers South Campus,Boaz,2505 U S Highway 431 North,1,35957,AL,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,16,15656.25,6311.88,5011.88
