provider_ccn,provider_org_name,provider_street_address,provider_city,provider_state_abbreviation,provider_state_fips,provider_zip5,provider_ruca_code,provider_ruca_description,apc_code,apc_description,beneficiary_count,apc_services,average_total_submitted_charges,average_medicare_allowed_amount,average_medicare_payment_amount,outlier_services,average_medicare_outlier_amount
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5431,Level 1 Nerve Procedures,89,107,13712.48,1569.91,1239.77,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5432,Level 2 Nerve Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5461,Level 1 Neurostimulator and Related Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5464,Level 4 Neurostimulator and Related Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5465,Level 5 Neurostimulator and Related Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5491,Level 1 Intraocular Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5492,Level 2 Intraocular Procedures,34,38,23812.75,3457.67,2720.82,0,0.0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5627,Level 7 Radiation Therapy,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",8011,Comprehensive Observation Services,652,698,11856.46,2137.8,1690.94,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5072,Level 2 Excision/ Biopsy/ Incision and Drainage,95,110,5349.87,1232.69,972.01,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5073,Level 3 Excision/ Biopsy/ Incision and Drainage,25,28,7224.26,2112.03,1656.85,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,21,25,7423.82,2885.33,2279.58,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,13,14,9225.96,5152.25,4105.04,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5112,Level 2 Musculoskeletal Procedures,25,27,4906.81,1050.77,807.36,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5113,Level 3 Musculoskeletal Procedures,78,80,7734.88,2529.14,2004.63,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5114,Level 4 Musculoskeletal Procedures,67,67,14385.4,5598.0,4432.48,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5115,Level 5 Musculoskeletal Procedures,102,107,27670.23,10935.18,9335.18,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5153,Level 3 Airway Endoscopy,11,11,5986.0,1298.82,1017.14,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5154,Level 4 Airway Endoscopy,12,13,6935.11,2890.02,2302.62,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5155,Level 5 Airway Endoscopy,12,12,11634.76,5007.59,3917.4,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5163,Level 3 ENT Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5164,Level 4 ENT Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5165,Level 5 ENT Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5182,Level 2 Vascular Procedures,25,27,3513.12,1251.96,981.58,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5183,Level 3 Vascular Procedures,142,175,12256.98,2567.79,2045.63,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5184,Level 4 Vascular Procedures,41,56,13924.04,4455.78,3550.12,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5191,Level 1 Endovascular Procedures,20,20,12328.82,2388.69,1627.71,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5192,Level 2 Endovascular Procedures,42,50,20769.39,4449.38,3526.4,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5193,Level 3 Endovascular Procedures,45,46,37692.95,8866.93,7266.93,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5194,Level 4 Endovascular Procedures,31,36,74081.24,14863.13,13263.13,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5222,Level 2 Pacemaker and Similar Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5223,Level 3 Pacemaker and Similar Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5231,Level 1 ICD and Similar Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5232,Level 2 ICD and Similar Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5302,Level 2 Upper GI Procedures,85,97,5385.65,1481.92,1175.39,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5303,Level 3 Upper GI Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5313,Level 3 Lower GI Procedures,11,11,8364.59,2066.19,1613.44,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5331,Complex GI Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5341,Abdominal/Peritoneal/Biliary and Related Procedures,24,24,9783.39,3070.58,2446.48,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5361,Level 1 Laparoscopy and Related Services,84,84,11637.01,4389.97,3471.43,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5362,Level 2 Laparoscopy and Related Services,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5372,Level 2 Urology and Related Services,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5373,Level 3 Urology and Related Services,47,54,5985.42,1608.11,1277.81,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5374,Level 4 Urology and Related Services,39,46,7427.61,2730.49,2164.42,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5375,Level 5 Urology and Related Services,36,46,9007.42,4076.43,3247.89,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5376,Level 6 Urology and Related Services,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5377,Level 7 Urology and Related Services,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5378,Level 8 Urology and Related Services,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5414,Level 4 Gynecologic Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5415,Level 5 Gynecologic Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5431,Level 1 Nerve Procedures,,11,5922.17,1558.64,1225.47,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5461,Level 1 Neurostimulator and Related Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5462,Level 2 Neurostimulator and Related Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5464,Level 4 Neurostimulator and Related Procedures,14,14,39410.78,17393.47,15793.47,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5465,Level 5 Neurostimulator and Related Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5491,Level 1 Intraocular Procedures,36,58,5483.39,1872.07,1491.57,0,0.0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",8011,Comprehensive Observation Services,106,107,8808.42,2020.37,1590.6,0,0.0
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5072,Level 2 Excision/ Biopsy/ Incision and Drainage,127,134,10734.98,1285.53,1022.2,0,0.0
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5073,Level 3 Excision/ Biopsy/ Incision and Drainage,12,12,15113.82,2222.7,1755.92,0,0.0
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,,,,,
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,15,15,32259.95,5112.96,4073.74,0,0.0
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5094,Level 4 Breast/Lymphatic Surgery and Related Procedures,,,,,,,
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5112,Level 2 Musculoskeletal Procedures,17,17,7492.21,1234.13,983.28,0,0.0
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5113,Level 3 Musculoskeletal Procedures,26,26,17020.83,2560.99,2033.53,0,0.0
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5114,Level 4 Musculoskeletal Procedures,57,58,29213.8,5612.47,4455.84,0,0.0
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5115,Level 5 Musculoskeletal Procedures,171,175,53212.39,11109.92,9508.63,0,0.0
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5116,Level 6 Musculoskeletal Procedures,,,,,,,
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5153,Level 3 Airway Endoscopy,,,,,,,
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5154,Level 4 Airway Endoscopy,29,29,20207.14,2867.98,2285.06,0,0.0
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5155,Level 5 Airway Endoscopy,,,,,,,
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5163,Level 3 ENT Procedures,,,,,,,
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5165,Level 5 ENT Procedures,,,,,,,
