geo_level,geo_code,geo_description,service_level,apc_code,apc_description,hcpcs_code,hcpcs_description,beneficiary_count,apc_services,average_total_submitted_charges,average_medicare_allowed_amount,average_medicare_payment_amount,outlier_services,average_medicare_outlier_amount
State,02,Alaska,APC,5491,Level 1 Intraocular Procedures,,,363,578,8254.64,2191.91,1745.38,0,0.0
State,02,Alaska,APC,5492,Level 2 Intraocular Procedures,,,0,0,,,,0,
State,02,Alaska,APC,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",,,0,0,,,,0,
State,02,Alaska,APC,5504,"Level 4 Extraocular, Repair, and Plastic Eye Procedures",,,0,0,,,,0,
State,02,Alaska,APC,5627,Level 7 Radiation Therapy,,,12,14,87945.57,8447.85,6847.85,0,
State,02,Alaska,APC,8011,Comprehensive Observation Services,,,1419,1584,28726.91,2761.37,2298.32,69,5671.93
State,04,Arizona,APC,5072,Level 2 Excision/ Biopsy/ Incision and Drainage,,,5857,6264,11741.31,1516.24,1203.41,0,
State,04,Arizona,APC,5073,Level 3 Excision/ Biopsy/ Incision and Drainage,,,2808,3102,19562.87,2576.97,2048.06,19,4970.83
State,04,Arizona,APC,5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,1202,1246,30705.12,3461.0,2750.03,0,
State,04,Arizona,APC,5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,,,1350,1356,53495.86,6015.61,4787.99,52,3296.8
State,04,Arizona,APC,5093,Level 3 Breast/Lymphatic Surgery and Related Procedures,,,164,168,94228.87,8807.38,7203.76,40,4564.22
State,04,Arizona,APC,5094,Level 4 Breast/Lymphatic Surgery and Related Procedures,,,81,84,138235.31,16886.78,15281.48,0,
State,04,Arizona,APC,5112,Level 2 Musculoskeletal Procedures,,,1523,1580,13241.03,1450.43,1148.44,0,
State,04,Arizona,APC,5113,Level 3 Musculoskeletal Procedures,,,2312,2357,27385.89,3004.08,2383.9,25,4395.93
State,04,Arizona,APC,5114,Level 4 Musculoskeletal Procedures,,,3318,3344,55958.6,6696.18,5318.19,117,3327.46
State,04,Arizona,APC,5115,Level 5 Musculoskeletal Procedures,,,11024,11450,86647.78,13156.95,11556.05,121,1935.58
State,04,Arizona,APC,5116,Level 6 Musculoskeletal Procedures,,,624,630,142288.68,21905.56,20304.2,22,4159.74
State,04,Arizona,APC,5153,Level 3 Airway Endoscopy,,,921,1137,10733.96,1301.46,1034.96,0,
State,04,Arizona,APC,5154,Level 4 Airway Endoscopy,,,1262,1422,24870.9,3323.71,2640.31,0,
State,04,Arizona,APC,5155,Level 5 Airway Endoscopy,,,740,751,42326.23,6205.6,4934.54,0,
State,04,Arizona,APC,5163,Level 3 ENT Procedures,,,69,79,9529.16,1096.56,873.23,0,0.0
State,04,Arizona,APC,5164,Level 4 ENT Procedures,,,188,189,25082.09,2790.08,2214.13,0,
State,04,Arizona,APC,5165,Level 5 ENT Procedures,,,961,967,40748.07,5362.47,4264.15,26,4166.54
State,04,Arizona,APC,5166,Cochlear Implant Procedure,,,141,144,110014.91,32905.69,31305.18,0,0.0
State,04,Arizona,APC,5182,Level 2 Vascular Procedures,,,1312,1349,10176.8,1504.16,1192.36,0,
State,04,Arizona,APC,5183,Level 3 Vascular Procedures,,,3781,3950,21702.05,3017.93,2398.08,27,5688.65
State,04,Arizona,APC,5184,Level 4 Vascular Procedures,,,867,1024,41219.0,4686.93,3728.8,22,6866.79
State,04,Arizona,APC,5191,Level 1 Endovascular Procedures,,,5859,5882,32684.23,2992.01,2094.77,42,4302.81
State,04,Arizona,APC,5192,Level 2 Endovascular Procedures,,,1010,1077,49492.78,5288.14,4196.1,22,3626.62
State,04,Arizona,APC,5193,Level 3 Endovascular Procedures,,,2780,3014,87191.56,10634.31,9049.95,223,2395.86
State,04,Arizona,APC,5194,Level 4 Endovascular Procedures,,,709,726,111356.13,17444.86,15846.92,13,2785.54
State,04,Arizona,APC,5200,Implantation Wireless PA Pressure Monitor,,,49,49,198017.56,27520.74,25920.74,0,0.0
State,04,Arizona,APC,5211,Level 1 Electrophysiologic Procedures,,,0,0,,,,0,
State,04,Arizona,APC,5212,Level 2 Electrophysiologic Procedures,,,262,267,48422.82,6805.35,5421.23,0,
State,04,Arizona,APC,5213,Level 3 Electrophysiologic Procedures,,,3214,3289,139968.66,23547.14,21944.53,0,
State,04,Arizona,APC,5222,Level 2 Pacemaker and Similar Procedures,,,612,612,47745.04,8282.8,6680.55,0,
State,04,Arizona,APC,5223,Level 3 Pacemaker and Similar Procedures,,,1412,1415,62383.98,10454.02,8852.44,0,
State,04,Arizona,APC,5224,Level 4 Pacemaker and Similar Procedures,,,258,259,113803.43,18818.57,17218.57,11,1198.09
State,04,Arizona,APC,5231,Level 1 ICD and Similar Procedures,,,101,101,121949.83,22922.51,21318.88,0,0.0
State,04,Arizona,APC,5232,Level 2 ICD and Similar Procedures,,,527,529,165653.35,32035.41,30433.03,0,
State,04,Arizona,APC,5302,Level 2 Upper GI Procedures,,,3727,4199,13752.98,1761.72,1402.26,0,
State,04,Arizona,APC,5303,Level 3 Upper GI Procedures,,,577,590,20813.44,3239.68,2569.02,0,
State,04,Arizona,APC,5313,Level 3 Lower GI Procedures,,,551,560,22896.07,2588.01,2074.63,0,
State,04,Arizona,APC,5331,Complex GI Procedures,,,656,849,26719.11,4947.8,3931.69,0,
State,04,Arizona,APC,5341,Abdominal/Peritoneal/Biliary and Related Procedures,,,1611,1661,36390.85,3594.62,2854.49,47,5192.97
