Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_St,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,APC_Cd,APC_Desc,Bene_Cnt,CAPC_Srvcs,Avg_Tot_Sbmtd_Chrgs,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Outlier_Srvcs,Avg_Mdcr_Outlier_Amt
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5165,Level 5 ENT Procedures,12,13,44751.886923077,4800.27,3824.6,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5182,Level 2 Vascular Procedures,103,117,11432.108290598,1320.2045299145,1046.4379487179,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5183,Level 3 Vascular Procedures,125,136,23287.078823529,2658.3882352941,2116.0911764706,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5184,Level 4 Vascular Procedures,100,138,49834.461521739,4594.8630434783,3654.1871014493,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5191,Level 1 Endovascular Procedures,388,392,15442.155714286,2622.9783673469,1828.7228061224,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5192,Level 2 Endovascular Procedures,43,46,31786.779347826,4607.4960869565,3646.8108695652,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5193,Level 3 Endovascular Procedures,157,170,61902.012529412,9214.9641764706,7608.398,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5194,Level 4 Endovascular Procedures,13,13,95982.589230769,15411.59,13811.59,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5212,Level 2 Electrophysiologic Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5213,Level 3 Electrophysiologic Procedures,53,55,111137.27890909,20003.162181818,18403.162181818,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5222,Level 2 Pacemaker and Similar Procedures,56,56,38859.821964286,7255.5478571429,5764.0378571429,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5223,Level 3 Pacemaker and Similar Procedures,119,119,52358.010336135,9279.6327731092,7679.4968067227,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5224,Level 4 Pacemaker and Similar Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5231,Level 1 ICD and Similar Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5232,Level 2 ICD and Similar Procedures,33,33,151188.8769697,27928.087272727,26328.087272727,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5302,Level 2 Upper GI Procedures,123,126,11300.829920635,1528.5112698413,1208.3572222222,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5303,Level 3 Upper GI Procedures,27,27,21742.658148148,2877.1392592593,2286.7285185185,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5313,Level 3 Lower GI Procedures,12,12,22384.489166667,2309.91,1840.41,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5331,Complex GI Procedures,17,17,37211.246470588,4711.4170588235,3748.4876470588,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5341,Abdominal/Peritoneal/Biliary and Related Procedures,54,54,33621.922407407,3139.8814814815,2492.7014814815,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5361,Level 1 Laparoscopy and Related Services,103,105,36399.366666667,4583.8726666667,3631.5126666667,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5362,Level 2 Laparoscopy and Related Services,27,27,88439.05037037,7924.8562962963,6324.8562962963,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5372,Level 2 Urology and Related Services,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5373,Level 3 Urology and Related Services,77,92,16944.961521739,1614.9359782609,1272.2298913043,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5374,Level 4 Urology and Related Services,158,179,28606.837374302,2848.770670391,2260.3911173184,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5375,Level 5 Urology and Related Services,54,55,26802.164181818,4227.18,3368,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5376,Level 6 Urology and Related Services,13,13,39029.146923077,7693.07,6129.44,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5378,Level 8 Urology and Related Services,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5414,Level 4 Gynecologic Procedures,12,12,22727.996666667,2404.0391666667,1872.3425,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5415,Level 5 Gynecologic Procedures,12,12,42095.6375,4166.89,3319.95,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5416,Level 6 Gynecologic Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5431,Level 1 Nerve Procedures,89,107,13712.484859813,1569.9111214953,1239.7714018691,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5432,Level 2 Nerve Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5461,Level 1 Neurostimulator and Related Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5464,Level 4 Neurostimulator and Related Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5465,Level 5 Neurostimulator and Related Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5491,Level 1 Intraocular Procedures,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5492,Level 2 Intraocular Procedures,34,38,23812.746052632,3457.6676315789,2720.8176315789,0,0
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5627,Level 7 Radiation Therapy,,,,,,,
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,01,36301,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",8011,Comprehensive Observation Services,652,698,11856.455401147,2137.7991977077,1690.936217765,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5072,Level 2 Excision/ Biopsy/ Incision and Drainage,95,110,5349.8685454545,1232.6902727273,972.00845454545,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5073,Level 3 Excision/ Biopsy/ Incision and Drainage,25,28,7224.2642857143,2112.03,1656.85,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,21,25,7423.8208,2885.3276,2279.5776,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,13,14,9225.955,5152.25,4105.04,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5112,Level 2 Musculoskeletal Procedures,25,27,4906.8062962963,1050.7674074074,807.35925925926,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5113,Level 3 Musculoskeletal Procedures,78,80,7734.8845,2529.13925,2004.62925,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5114,Level 4 Musculoskeletal Procedures,67,67,14385.403283582,5597.996119403,4432.476119403,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5115,Level 5 Musculoskeletal Procedures,102,107,27670.231682243,10935.178785047,9335.1787850467,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5153,Level 3 Airway Endoscopy,11,11,5986.0027272727,1298.8163636364,1017.1363636364,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5154,Level 4 Airway Endoscopy,12,13,6935.1123076923,2890.02,2302.62,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5155,Level 5 Airway Endoscopy,12,12,11634.76,5007.5925,3917.4025,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5163,Level 3 ENT Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5164,Level 4 ENT Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5165,Level 5 ENT Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5182,Level 2 Vascular Procedures,25,27,3513.1192592593,1251.9611111111,981.5837037037,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5183,Level 3 Vascular Procedures,142,175,12256.9768,2567.7876,2045.6272571429,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5184,Level 4 Vascular Procedures,41,56,13924.036964286,4455.78,3550.12,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5191,Level 1 Endovascular Procedures,20,20,12328.8185,2388.693,1627.713,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5192,Level 2 Endovascular Procedures,42,50,20769.3866,4449.3828,3526.3978,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5193,Level 3 Endovascular Procedures,45,46,37692.95,8866.9347826087,7266.9347826087,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5194,Level 4 Endovascular Procedures,31,36,74081.244722222,14863.13,13263.13,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5222,Level 2 Pacemaker and Similar Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5223,Level 3 Pacemaker and Similar Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5231,Level 1 ICD and Similar Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5232,Level 2 ICD and Similar Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5302,Level 2 Upper GI Procedures,85,97,5385.6492783505,1481.9183505155,1175.3945360825,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5303,Level 3 Upper GI Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5313,Level 3 Lower GI Procedures,11,11,8364.5890909091,2066.1863636364,1613.4363636364,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5331,Complex GI Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5341,Abdominal/Peritoneal/Biliary and Related Procedures,24,24,9783.3929166667,3070.58,2446.48,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5361,Level 1 Laparoscopy and Related Services,84,84,11637.005119048,4389.9661904762,3471.4340476191,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5362,Level 2 Laparoscopy and Related Services,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5372,Level 2 Urology and Related Services,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5373,Level 3 Urology and Related Services,47,54,5985.4174074074,1608.1092592592,1277.8142592593,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5374,Level 4 Urology and Related Services,39,46,7427.6058695652,2730.4895652174,2164.4173913043,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5375,Level 5 Urology and Related Services,36,46,9007.4169565218,4076.43,3247.89,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5376,Level 6 Urology and Related Services,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5377,Level 7 Urology and Related Services,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5378,Level 8 Urology and Related Services,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5414,Level 4 Gynecologic Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5415,Level 5 Gynecologic Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5431,Level 1 Nerve Procedures,,11,5922.1718181818,1558.6390909091,1225.4727272727,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5461,Level 1 Neurostimulator and Related Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5462,Level 2 Neurostimulator and Related Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5464,Level 4 Neurostimulator and Related Procedures,14,14,39410.775,17393.467857143,15793.467857143,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5465,Level 5 Neurostimulator and Related Procedures,,,,,,,
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5491,Level 1 Intraocular Procedures,36,58,5483.3946551724,1872.07,1491.57,0,0
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,01,35957,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",8011,Comprehensive Observation Services,106,107,8808.4234579439,2020.3718691589,1590.6018691589,0,0
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5072,Level 2 Excision/ Biopsy/ Incision and Drainage,127,134,10734.976119403,1285.5345522388,1022.1963432836,0,0
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5073,Level 3 Excision/ Biopsy/ Incision and Drainage,12,12,15113.821666667,2222.7016666667,1755.925,0,0
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,,,,,
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,15,15,32259.948,5112.96,4073.74,0,0
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5094,Level 4 Breast/Lymphatic Surgery and Related Procedures,,,,,,,
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5112,Level 2 Musculoskeletal Procedures,17,17,7492.2123529412,1234.13,983.28,0,0
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5113,Level 3 Musculoskeletal Procedures,26,26,17020.831153846,2560.9892307692,2033.5253846154,0,0
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5114,Level 4 Musculoskeletal Procedures,57,58,29213.803103449,5612.4674137931,4455.8374137931,0,0
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,01,35630,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5115,Level 5 Musculoskeletal Procedures,171,175,53212.392571428,11109.9196,9508.6281714286,0,0
