Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
National,,National,038,EXTRACRANIAL PROCEDURES WITH CC,7936,83869.529108,14586.719254,11803.142011
National,,National,039,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,12974,59830.776861,10254.699245,7699.4742562
National,,National,040,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",3629,178589.18931,37138.306145,31167.064205
National,,National,041,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUR",5043,113283.50545,21569.337498,17504.245092
National,,National,042,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC",1520,93459.234868,17829.081579,13650.356579
National,,National,052,SPINAL DISORDERS AND INJURIES WITH CC/MCC,950,89446.925263,20698.963158,16722.104211
National,,National,053,SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC,191,51666.827225,11258.010471,7868.6020942
National,,National,054,NERVOUS SYSTEM NEOPLASMS WITH MCC,10250,72216.174439,14221.67961,11178.406927
National,,National,055,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,2547,56044.111896,10712.998822,7895.7499018
National,,National,056,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,14380,92892.477538,21684.424896,18112.730876
National,,National,057,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,26465,53623.183677,13216.507312,10695.307614
National,,National,058,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC,759,83639.16996,18508.114625,13974.619236
National,,National,059,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC,1697,59219.257513,11976.969358,8845.1249263
National,,National,060,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC,1143,44735.568679,9444.9536308,6249.2204724
National,,National,061,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",4281,139092.34595,26042.296893,22199.80285
National,,National,062,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",7928,96626.39556,17145.891019,13787.234233
National,,National,063,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",1502,79537.1498,14758.541944,10875.653129
National,,National,064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,68105,92410.887497,18108.981705,15087.275266
National,,National,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,74971,52520.77662,9518.0699604,7181.6712062
National,,National,066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,19239,40193.61708,6911.4179531,4580.9010344
National,,National,067,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC,1223,74792.170074,13286.177433,11049.566639
National,,National,068,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,4612,50581.370989,8254.1192541,6220.6372507
National,,National,069,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,28277,47212.405064,7445.3699119,5578.3247869
National,,National,070,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,17229,73029.616577,15693.272854,13316.085321
National,,National,071,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,16686,47659.748711,9770.7185665,7818.5885173
National,,National,072,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC,2775,39847.572613,7320.7628829,5451.0738739
National,,National,073,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,5110,70065.550881,14802.247554,12413.475147
National,,National,074,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,11648,51280.091518,10131.222356,7772.8669299
National,,National,075,VIRAL MENINGITIS WITH CC/MCC,411,77856.746959,17502.610706,13677.987835
National,,National,076,VIRAL MENINGITIS WITHOUT CC/MCC,74,42276.013514,10882.837838,6317.3513514
National,,National,077,HYPERTENSIVE ENCEPHALOPATHY WITH MCC,1449,72239.323671,14354.372671,11958.439614
National,,National,078,HYPERTENSIVE ENCEPHALOPATHY WITH CC,1996,51118.473948,8848.0140281,6845.8146293
National,,National,079,HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC,229,40820.694323,6614.5283843,5039.510917
National,,National,080,NONTRAUMATIC STUPOR AND COMA WITH MCC,1535,87082.299023,19533.9557,16846.19544
National,,National,081,NONTRAUMATIC STUPOR AND COMA WITHOUT MCC,688,45428.677326,9385.7819767,7096.1715116
National,,National,082,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,10103,110418.73671,22831.134811,19327.433931
National,,National,083,TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,10349,67826.574742,13287.129481,10718.174413
National,,National,084,TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC,3563,49341.026944,9421.5980915,7108.7055852
National,,National,085,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,8406,103546.02926,21124.343207,17911.627052
National,,National,086,TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,12051,64410.555141,12098.279147,9693.8640777
National,,National,087,TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,4591,46826.059246,8674.199303,6352.4609018
National,,National,088,CONCUSSION WITH MCC,513,71710.633528,14471.42885,11978.237817
National,,National,089,CONCUSSION WITH CC,1313,57121.637471,10809.58492,8406.351866
National,,National,090,CONCUSSION WITHOUT CC/MCC,358,43622.527933,8172.4608939,5851.2150838
National,,National,091,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,16081,79018.768174,16830.071513,14025.903551
National,,National,092,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,20316,49735.765407,9849.1497342,7728.84367
National,,National,093,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC,5244,41607.785469,7607.386537,5636.2194889
National,,National,094,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC,1406,154444.4744,34300.248222,28629.107397
National,,National,095,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC,1229,114995.40521,23463.435313,19492.619203
National,,National,096,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC,336,118393.71726,22371.065476,16510.422619
National,,National,097,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC,1799,165583.33852,38843.48249,31824.737076
National,,National,098,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC,1176,106749.17177,22123.834184,16846.136054
National,,National,099,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC,248,67975.512097,14050.052419,9683.2217742
National,,National,100,SEIZURES WITH MCC,22583,89653.855378,18257.868972,15402.417571
National,,National,101,SEIZURES WITHOUT MCC,27602,45462.375625,9134.3360988,6894.3061735
National,,National,102,HEADACHES WITH MCC,1088,58558.003676,11930.530331,8879.2334559
National,,National,103,HEADACHES WITHOUT MCC,6391,46349.627288,8793.4363949,5758.0081364
National,,National,113,ORBITAL PROCEDURES WITH CC/MCC,417,131912.82734,27542.031175,22592.081535
National,,National,114,ORBITAL PROCEDURES WITHOUT CC/MCC,75,77067.146667,14358.04,11559.626667
National,,National,115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,659,83353.534143,17055.658574,13064.848255
National,,National,116,INTRAOCULAR PROCEDURES WITH CC/MCC,369,89319.170732,22081.463415,18071.02439
National,,National,117,INTRAOCULAR PROCEDURES WITHOUT CC/MCC,113,62218.80531,12300.362832,9352.6017699
National,,National,121,ACUTE MAJOR EYE INFECTIONS WITH CC/MCC,618,51513.873786,15448.726537,11566.954693
National,,National,122,ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC,107,31065.11215,9595.9158879,6008.8598131
National,,National,123,NEUROLOGICAL EYE DISORDERS,2995,47068.687813,8133.0380634,5769.6687813
National,,National,124,OTHER DISORDERS OF THE EYE WITH MCC OR THROMBOLYTIC AGENT,1025,66215.645854,14209.607805,11392.139512
National,,National,125,OTHER DISORDERS OF THE EYE WITHOUT MCC,3221,42874.005588,8953.9037566,6565.9512574
National,,National,135,SINUS AND MASTOID PROCEDURES WITH CC/MCC,240,126012.975,26207.3,21488.716667
National,,National,136,SINUS AND MASTOID PROCEDURES WITHOUT CC/MCC,79,60042.620253,12791.746835,9802.8607595
National,,National,137,MOUTH PROCEDURES WITH CC/MCC,527,68151.347249,15741.550285,12557.886148
National,,National,138,MOUTH PROCEDURES WITHOUT CC/MCC,213,47035.502347,9355.1220657,6564.0046948
National,,National,139,SALIVARY GLAND PROCEDURES,228,71283.482456,13323.903509,10374.421053
National,,National,140,MAJOR HEAD AND NECK PROCEDURES WITH MCC,678,221443.4941,44157.514749,37369.023599
National,,National,141,MAJOR HEAD AND NECK PROCEDURES WITH CC,2302,119854.83189,24649.619461,19168.570808
National,,National,142,MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC,1175,90129.435745,18173.942128,13780.420426
National,,National,143,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH MCC",741,165807.09312,36266.846154,30083.535762
National,,National,144,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH CC",1335,92907.36779,19070.058427,14785.571536
National,,National,145,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC",840,66899.54881,13091.108333,9863.6940476
National,,National,146,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC",1210,105303.2405,23337.007438,18960.873554
National,,National,147,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH CC",689,61228.895501,12881.580552,10239.635704
National,,National,148,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITHOUT CC/MCC",156,43344.134615,9177.5384615,6342.1474359
National,,National,149,DYSEQUILIBRIUM,13868,41287.073406,7183.9185175,5236.713441
National,,National,150,EPISTAXIS WITH MCC,726,58085.588154,12659.387052,10818.955923
National,,National,151,EPISTAXIS WITHOUT MCC,1438,32910.347705,7397.2162726,5655.5340751
National,,National,152,OTITIS MEDIA AND URI WITH MCC,2066,53162.125363,11681.651016,9375.5963214
National,,National,153,OTITIS MEDIA AND URI WITHOUT MCC,3585,34652.360112,7274.5852162,5025.5132497
National,,National,154,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC",1845,74072.087263,15380.324661,12713.97019
National,,National,155,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",3083,44957.446319,9158.5711969,6965.9348038
National,,National,156,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC",873,33543.975945,7137.2222222,4776.5441008
National,,National,157,DENTAL AND ORAL DISEASES WITH MCC,1658,76430.075995,18100.915561,14431.281665
National,,National,158,DENTAL AND ORAL DISEASES WITH CC,2892,44856.529391,9640.9059474,7178.6272476
National,,National,159,DENTAL AND ORAL DISEASES WITHOUT CC/MCC,584,34111.690068,7709.135274,5332.2243151
National,,National,163,MAJOR CHEST PROCEDURES WITH MCC,13055,201744.17549,43025.533435,36990.695059
National,,National,164,MAJOR CHEST PROCEDURES WITH CC,15101,122531.51977,24555.578306,19840.553142
National,,National,165,MAJOR CHEST PROCEDURES WITHOUT CC/MCC,6993,96422.179465,19019.183898,14598.278707
National,,National,166,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,8254,167131.067,36325.961352,30241.689847
National,,National,167,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,4515,89989.705205,18001.920266,14173.289922
National,,National,168,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,1440,71716.891667,13736.359722,10080.211806
National,,National,173,ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS WITH PRINCIPAL DIAGNOSIS PULMONARY EMBOLIS,324,133929.38889,26159.064815,22577.950617
National,,National,175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,27798,62572.771602,12835.49187,10433.699259
National,,National,176,PULMONARY EMBOLISM WITHOUT MCC,17588,39305.553332,7937.1105299,5736.9841938
National,,National,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,168969,66260.447916,16055.850251,13857.322355
National,,National,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,40367,41605.563331,10209.751802,8175.9782991
National,,National,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,7854,33089.611154,7835.6939139,5947.0546218
National,,National,180,RESPIRATORY NEOPLASMS WITH MCC,15125,82116.860231,16343.313058,13432.831008
National,,National,181,RESPIRATORY NEOPLASMS WITH CC,5228,53897.23049,10954.511859,8548.4648049
National,,National,182,RESPIRATORY NEOPLASMS WITHOUT CC/MCC,261,44567.191571,8496.5287356,6317.8314176
National,,National,183,MAJOR CHEST TRAUMA WITH MCC,4920,72140.710366,14767.078659,12076.904878
National,,National,184,MAJOR CHEST TRAUMA WITH CC,9774,52435.437078,10425.170555,7718.1296296
National,,National,185,MAJOR CHEST TRAUMA WITHOUT CC/MCC,2115,39072.099764,7910.8468085,5492.7683215
National,,National,186,PLEURAL EFFUSION WITH MCC,8244,67922.756065,13739.50182,11491.447113
National,,National,187,PLEURAL EFFUSION WITH CC,4201,46756.406808,9693.3680076,7734.8090931
National,,National,188,PLEURAL EFFUSION WITHOUT CC/MCC,595,36342.855462,6898.4067227,5207.1731092
National,,National,189,PULMONARY EDEMA AND RESPIRATORY FAILURE,93906,53991.905938,11503.700392,9451.247013
National,,National,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,59273,47500.947919,10060.970813,8091.9775277
National,,National,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,21030,37755.951355,8031.9516881,6235.693533
National,,National,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,5223,29023.473483,6385.8539154,4527.0915183
National,,National,193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,128561,56953.145993,11486.379617,9428.9335024
National,,National,194,SIMPLE PNEUMONIA AND PLEURISY WITH CC,44966,36711.411733,7765.4794734,5849.3700574
National,,National,195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,7931,28940.855756,6100.5081326,4215.2151053
National,,National,196,INTERSTITIAL LUNG DISEASE WITH MCC,9422,79690.491828,17448.889302,14357.409573
National,,National,197,INTERSTITIAL LUNG DISEASE WITH CC,1616,46247.843441,10201.266089,7517.2295792
National,,National,198,INTERSTITIAL LUNG DISEASE WITHOUT CC/MCC,317,34221.892744,7265.9652997,5080.4984227
National,,National,199,PNEUMOTHORAX WITH MCC,7108,76756.750281,16077.745498,13393.53489
National,,National,200,PNEUMOTHORAX WITH CC,8687,50844.745827,10463.194313,7782.2046737
National,,National,201,PNEUMOTHORAX WITHOUT CC/MCC,1069,30833.052385,7078.4920486,4874.5818522
National,,National,202,BRONCHITIS AND ASTHMA WITH CC/MCC,18859,43004.29588,9022.5806246,6824.7001432
National,,National,203,BRONCHITIS AND ASTHMA WITHOUT CC/MCC,2463,32274.076736,6811.6613886,4633.0787657
National,,National,204,RESPIRATORY SIGNS AND SYMPTOMS,4411,41590.328497,7843.5676717,5925.4676944
National,,National,205,OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC,10091,83811.031513,18535.965514,14832.361411
National,,National,206,OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC,6587,46099.410506,9399.44937,6941.8197966
National,,National,207,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,11972,276579.75025,59236.796275,52457.297026
National,,National,208,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,30137,125012.31317,24081.956996,20955.86203
National,,National,212,CONCOMITANT AORTIC AND MITRAL VALVE PROCEDURES,225,539312.94667,122391.47111,101995.59111
National,,National,215,OTHER HEART ASSIST SYSTEM IMPLANT,3861,464135.99145,95250.411551,83192.841492
National,,National,216,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,5794,470110.199,96373.645841,84403.592682
National,,National,217,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,1804,311542.12251,59475.348115,50642.586475
National,,National,218,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,312,275964.02244,49340.246795,45010.86859
National,,National,219,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,14001,383785.23791,81868.172845,69272.55396
National,,National,220,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,10608,259063.69042,52852.935615,43052.759521
National,,National,221,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,1337,218234.7816,44035.394166,36801.853403
National,,National,222,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITH MC",1243,359113.71601,73454.653258,62950.909895
National,,National,223,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITHOUT",234,239229.47009,46930.726496,38585.782051
National,,National,224,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITH",1353,327425.41759,65983.083518,56974.556541
National,,National,225,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITH",928,234020.19612,45607.029095,37802.891164
National,,National,226,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITH MCC,2611,286589.65454,58410.507468,51310.505553
National,,National,227,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,2108,218194.00712,44909.660816,38403.300285
National,,National,228,OTHER CARDIOTHORACIC PROCEDURES WITH MCC,4787,242546.9225,47546.795279,42134.676206
National,,National,229,OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC,6436,154948.01212,28940.070075,25414.564947
National,,National,231,CORONARY BYPASS WITH PTCA WITH MCC,741,435268.10796,80422.481781,66722.070175
National,,National,232,CORONARY BYPASS WITH PTCA WITHOUT MCC,389,307724.12596,55547.269923,44688.539846
National,,National,233,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC,9977,359042.87752,67463.266613,56373.968528
National,,National,234,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC,9047,250929.86846,44364.907152,35792.356472
National,,National,235,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC,11332,279141.35466,54482.263766,44644.011472
National,,National,236,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,15241,196527.05144,36295.370054,28866.893577
National,,National,239,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC,6763,197584.1832,41274.006802,36226.22076
National,,National,240,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC,5585,121987.3855,24249.742883,20472.051388
National,,National,241,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT CC/MCC,341,64288.665689,13755.331378,11143.486804
National,,National,242,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,15591,152993.91508,29749.900712,26492.392727
National,,National,243,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,20115,106840.513,20045.044544,17206.016555
National,,National,244,PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,9633,88669.41389,16330.354614,13519.086577
National,,National,245,AICD GENERATOR PROCEDURES,788,230546.24239,44400.827411,38295.876904
National,,National,246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES O,31322,161499.30017,27239.769108,22803.903901
National,,National,247,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC,42731,110403.10068,17380.205588,13238.511947
National,,National,248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITH MCC OR 4+ ARTERI,280,148275.71786,27087.860714,22368.657143
National,,National,249,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITHOUT MCC,292,105621.39041,15216.219178,12500.770548
National,,National,250,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT INTRALUMINAL DEVICE WITH MCC,3532,128148.34485,21819.627123,18284.64043
National,,National,251,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT INTRALUMINAL DEVICE WITHOUT MCC,3084,91382.744163,14594.206874,11459.845655
National,,National,252,OTHER VASCULAR PROCEDURES WITH MCC,20349,160964.54194,32269.17824,28442.020984
National,,National,253,OTHER VASCULAR PROCEDURES WITH CC,17237,125618.77867,24229.762024,20205.131229
National,,National,254,OTHER VASCULAR PROCEDURES WITHOUT CC/MCC,6359,86886.642868,16460.481522,12888.527441
National,,National,255,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH MCC,1340,108957.53284,23590.354478,20053.071642
National,,National,256,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH CC,1125,74445.995556,15446.886222,12299.383111
National,,National,257,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITHOUT CC/MCC,60,45527.883333,12216.466667,10280.466667
National,,National,258,CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MCC,586,128051.44881,24965.798635,22345.894198
