Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_St,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",163,MAJOR CHEST PROCEDURES WITH MCC,11,111537.72727,30828.454545,28987.363636
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",166,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,13,138591.23077,25861.692308,23853.230769
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,84,52340.154762,12973.297619,10863.845238
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,16,23458.25,8819.875,6406.875
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",180,RESPIRATORY NEOPLASMS WITH MCC,13,39182.230769,13426.615385,7565.4615385
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",189,PULMONARY EDEMA AND RESPIRATORY FAILURE,31,46753,9668.6774194,8075.7096774
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,19,47135.315789,8776.7894737,5914.6842105
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,67,46622.597015,9772.9104478,7650.3283582
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",202,BRONCHITIS AND ASTHMA WITH CC/MCC,11,44866.090909,7605.3636364,5231.0909091
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",207,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,15,252022.93333,46819.666667,36770.866667
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",208,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,15,93157.466667,20260.866667,18529.4
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",233,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC,17,300126.35294,43741.941176,41545.647059
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",234,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC,22,205288.59091,31781.090909,29661.772727
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",242,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,18,107121.94444,23482.111111,21905.111111
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",243,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,20,73876.15,16374.65,14620.95
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",244,PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,11,86284.909091,17447.090909,10515.545455
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES O,20,103128.55,22141.55,18276.95
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",247,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC,28,87888.5,15655.857143,10519.107143
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",252,OTHER VASCULAR PROCEDURES WITH MCC,11,110353.90909,23739.545455,22113.181818
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC,38,144547.10526,32988.342105,30343.157895
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITHOUT MCC,17,114961.23529,27824.294118,25809
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",274,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC,34,122425.85294,22516.911765,20548.294118
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",100,40404.97,11574.99,9987.77
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",44,27909.295455,7252.9772727,5231.0227273
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",15,73534.666667,13913.066667,12723.6
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",286,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITH MCC",19,47840.842105,14748.052632,13061.684211
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",287,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC",17,31160.235294,7688.8235294,6299.1176471
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",291,HEART FAILURE AND SHOCK WITH MCC,240,37792.945833,9564.675,7821.8791667
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",305,HYPERTENSION WITHOUT MCC,24,17377.291667,5883.5833333,4133.4583333
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",308,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC,33,30824.818182,8499.9090909,7298.9393939
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",309,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,50,18843.84,6529.9,3936.02
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",310,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC,22,13580.363636,4720,2788.8181818
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",312,SYNCOPE AND COLLAPSE,28,22854.142857,6675.2142857,5301.7142857
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",329,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,19,204144.05263,34254.736842,32291.631579
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",330,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,27,120550.33333,17020.925926,15249.518519
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",331,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,11,93266.545455,12241.454545,10711.272727
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",371,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH MCC,13,40609.615385,12349.461538,11139.230769
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",372,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,12,29272.833333,6781.3333333,5403.8333333
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",377,GASTROINTESTINAL HEMORRHAGE WITH MCC,27,51240.222222,12669.074074,10755.037037
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",378,GASTROINTESTINAL HEMORRHAGE WITH CC,60,30058.833333,7576.55,6017.3166667
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",388,GASTROINTESTINAL OBSTRUCTION WITH MCC,13,27967.769231,10395.230769,8979.7692308
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",389,GASTROINTESTINAL OBSTRUCTION WITH CC,25,29995.2,6526.76,4784.56
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",391,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC",33,45685.424242,10038.727273,7740.4242424
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",392,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",49,25156.408163,6302.244898,4581.0204082
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",394,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC,18,27965.5,7239.8888889,5547.3888889
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",454,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC,17,188391.35294,40161.176471,37047.705882
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",455,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITHOUT CC/MCC,19,154037.47368,30996.526316,25744.526316
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",472,CERVICAL SPINAL FUSION WITH CC,12,102479.5,19605,16066.25
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",480,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC,31,92299.096774,20448.870968,18614.193548
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",481,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC,46,73816.913043,15172.043478,12824.782609
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",521,HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITH MCC,14,83620.428571,20282.071429,18477.928571
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",522,HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITHOUT MCC,27,80596.37037,15744.444444,13076.703704
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",536,FRACTURES OF HIP AND PELVIS WITHOUT MCC,11,15721.181818,6258.1818182,4319
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",552,MEDICAL BACK PROBLEMS WITHOUT MCC,15,29006.4,7866.5333333,5397.0666667
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",603,CELLULITIS WITHOUT MCC,16,22539.1875,6554.8125,4429.75
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",637,DIABETES WITH MCC,17,41140.823529,10412.411765,7535.3529412
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",640,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC",37,34941.513514,9303.2432432,7907.8378378
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",641,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",21,18106.714286,6001.047619,4591.1904762
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",673,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH MCC,11,103342.09091,33074.181818,20901.090909
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",682,RENAL FAILURE WITH MCC,59,42932.237288,11128.389831,8992.4237288
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",683,RENAL FAILURE WITH CC,66,23007.833333,6845.8939394,5279.0909091
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",689,KIDNEY AND URINARY TRACT INFECTIONS WITH MCC,30,28422.966667,8079.7666667,6640.4666667
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,40,22508.75,6532.45,4770.325
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,33,37090.090909,11400.939394,9946.8484848
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",699,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH CC,14,26874.5,7920.2142857,6077.0714286
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",811,RED BLOOD CELL DISORDERS WITH MCC,12,31649.833333,10207.666667,8829.75
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",812,RED BLOOD CELL DISORDERS WITHOUT MCC,18,25271.555556,6949.6666667,5543.5
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",853,INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH MCC,62,166454.5,33336.209677,30511.483871
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",854,INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH CC,14,83753.642857,14404.214286,12323.642857
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",870,SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS,25,230134.96,45369.76,41361.68
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,305,58115.691803,13804.681967,11805.927869
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,65,26415.292308,7800.9538462,5817.3230769
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",884,ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY,26,28126.461538,12029.307692,10376.730769
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",885,PSYCHOSES,90,16245.444444,9631.1555556,7954.0777778
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",897,"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITHOUT MCC",15,15870.4,6529.2,5252.4666667
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",948,SIGNS AND SYMPTOMS WITHOUT MCC,15,18916.266667,6127.3333333,4726.4
010001,Southeast Health Medical Center,Dothan,1108 Ross Clark Circle,01,36301,AL,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",981,EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC,20,159961.75,30640.2,26805.75
010005,Marshall Medical Centers South Campus,Boaz,2505 U S Highway 431 North,01,35957,AL,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",036,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,11,37009.909091,12764.909091,8954.1818182
010005,Marshall Medical Centers South Campus,Boaz,2505 U S Highway 431 North,01,35957,AL,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",039,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,12,14950.416667,8184.5833333,6195.1666667
010005,Marshall Medical Centers South Campus,Boaz,2505 U S Highway 431 North,01,35957,AL,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,22,17252.136364,7461.6818182,5465.7727273
010005,Marshall Medical Centers South Campus,Boaz,2505 U S Highway 431 North,01,35957,AL,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,11,14339,5659.3636364,3065.2727273
010005,Marshall Medical Centers South Campus,Boaz,2505 U S Highway 431 North,01,35957,AL,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,51,28183.745098,11933.686275,10359.078431
