Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,Srvc_Lvl,APC_Cd,APC_Desc,HCPCS_Cd,HCPCS_Desc,Bene_Cnt,CAPC_Srvcs,Avg_Tot_Sbmtd_Chrgs,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Outlier_Srvcs,Avg_Mdcr_Outlier_Amt
National,,National,APC,5194,Level 4 Endovascular Procedures,,,34519,35899,104747.280873,16873.910338171,15279.673434358,2107,3929.1368232558
National,,National,APC,5200,Implantation Wireless PA Pressure Monitor,,,2527,2532,141465.50392575,27437.526034755,25837.023767773,26,6684.5894230769
National,,National,APC,5211,Level 1 Electrophysiologic Procedures,,,238,239,14619.722970711,1085.709665272,859.56845188285,,
National,,National,APC,5212,Level 2 Electrophysiologic Procedures,,,6773,6834,50089.49705297,6612.4597922154,5263.100984782,407,4412.7823090909
National,,National,APC,5213,Level 3 Electrophysiologic Procedures,,,95133,96827,145945.44225082,23348.72916831,21746.359947329,3078,3202.1411965562
National,,National,APC,5222,Level 2 Pacemaker and Similar Procedures,,,35086,35182,42655.587977659,8079.7753760446,6517.4014169177,406,3675.9181827586
National,,National,APC,5223,Level 3 Pacemaker and Similar Procedures,,,67979,68039,58049.865449228,10207.702493276,8605.5808007172,1587,2755.128736736
National,,National,APC,5224,Level 4 Pacemaker and Similar Procedures,,,11325,11337,100981.59775249,18255.464797565,16653.96950075,341,2596.0718739003
National,,National,APC,5231,Level 1 ICD and Similar Procedures,,,5905,5913,116425.94563504,22416.836029088,20812.865751733,128,4517.2186609375
National,,National,APC,5232,Level 2 ICD and Similar Procedures,,,29229,29303,163692.40274409,31338.767389346,29736.170874313,653,5582.7147638591
National,,National,APC,5244,Level 4 Blood Product Exchange and Related Services,,,62,62,198833.63467742,47000.110645161,45400.110645161,,
National,,National,APC,5302,Level 2 Upper GI Procedures,,,184868,206005,12751.370892842,1718.5379254872,1366.8260447076,544,5564.6666069853
National,,National,APC,5303,Level 3 Upper GI Procedures,,,24135,26031,21793.258343513,3090.1246237179,2452.9693868849,313,4243.6070837061
National,,National,APC,5313,Level 3 Lower GI Procedures,,,35936,36825,18116.000935234,2555.2815766463,2050.4780638153,138,5058.720515942
National,,National,APC,5331,Complex GI Procedures,,,21190,25012,32047.389901647,5120.1580341436,4067.3715960339,702,3927.1029339031
National,,National,APC,5341,Abdominal/Peritoneal/Biliary and Related Procedures,,,73242,78369,25561.043197693,3515.3388612844,2786.2936805369,1636,4781.2182613692
National,,National,APC,5361,Level 1 Laparoscopy and Related Services,,,156115,157072,38039.540440371,5115.2583618341,4054.7254623994,4472,3926.1928702594
National,,National,APC,5362,Level 2 Laparoscopy and Related Services,,,84487,84720,64420.135269594,8954.0271517941,7352.7791272427,7934,3092.3216297454
National,,National,APC,5372,Level 2 Urology and Related Services,,,128532,195699,3121.2585193588,605.67797801726,476.17790203323,228,6617.9026052631
National,,National,APC,5373,Level 3 Urology and Related Services,,,144685,174983,12473.490007886,1812.6830884143,1436.2764079368,386,5942.3026621762
National,,National,APC,5374,Level 4 Urology and Related Services,,,143919,162735,22225.324993455,3148.2035743387,2498.1003870096,878,4572.6721867881
National,,National,APC,5375,Level 5 Urology and Related Services,,,141797,149830,31005.410869185,4649.2884572515,3690.5229212441,2143,4397.3707496034
National,,National,APC,5376,Level 6 Urology and Related Services,,,19695,19924,46671.749796226,8490.8436458542,6901.7995231881,506,3375.5987667984
National,,National,APC,5377,Level 7 Urology and Related Services,,,1009,1018,62371.762043222,11698.023614931,10098.105245579,13,1387.9076615385
National,,National,APC,5378,Level 8 Urology and Related Services,,,7176,7262,95901.239551088,18788.808671165,17188.148497659,74,3334.5752810811
National,,National,APC,5414,Level 4 Gynecologic Procedures,,,41230,41729,19941.675506482,2805.7923264396,2222.9073397398,113,4587.9776265487
National,,National,APC,5415,Level 5 Gynecologic Procedures,,,20460,21231,33076.401837878,4566.2395143893,3619.1098379728,565,4638.872859823
National,,National,APC,5416,Level 6 Gynecologic Procedures,,,8889,8985,48284.041043962,6895.4656104619,5486.0012331664,406,4234.2010103448
National,,National,APC,5431,Level 1 Nerve Procedures,,,113495,132601,11993.821059268,1712.8445820921,1355.5996775288,523,5530.3171120459
National,,National,APC,5432,Level 2 Nerve Procedures,,,2644,2751,41225.230734278,5928.8850999636,4704.36565249,234,4768.3361205128
National,,National,APC,5461,Level 1 Neurostimulator and Related Procedures,,,5138,5245,27209.58142612,3069.7371000953,2429.6555729266,237,5919.9733729958
National,,National,APC,5462,Level 2 Neurostimulator and Related Procedures,,,13587,15659,30790.340296315,5848.8424829172,4651.3197017689,484,4725.9228227273
National,,National,APC,5463,Level 3 Neurostimulator and Related Procedures,,,1841,1873,83403.941825948,11842.111980779,10258.986294714,388,4770.4165953608
National,,National,APC,5464,Level 4 Neurostimulator and Related Procedures,,,14634,15126,92612.131414121,20582.171897395,18981.08424567,339,6030.8350666667
National,,National,APC,5465,Level 5 Neurostimulator and Related Procedures,,,21410,21620,133522.30359112,28052.715581869,26450.142989824,450,9591.551844
National,,National,APC,5471,Implantation of Drug Infusion Device,,,3289,3322,80776.34526189,16111.568064419,14510.303371463,53,3609.6534150943
National,,National,APC,5491,Level 1 Intraocular Procedures,,,202203,301272,12639.884782024,2122.2980122613,1683.1053960209,235,5116.3200289362
National,,National,APC,5492,Level 2 Intraocular Procedures,,,50816,55697,25133.022885793,3982.7878787008,3160.8957861285,665,4149.26568
National,,National,APC,5493,Level 3 Intraocular Procedures,,,396,417,41418.904148681,7281.8254436451,5845.0276019185,45,4801.3322933333
National,,National,APC,5494,Level 4 Intraocular Procedures,,,59,65,60100.679230769,16767.535538461,15192.150923077,,
National,,National,APC,5495,Level 5 Intraocular Procedures,,,33,33,28902.276969697,17580.362424242,16003.052424242,0,0
National,,National,APC,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",,,24090,34841,10843.57899601,1509.054944175,1197.6250690279,183,5319.9110426229
National,,National,APC,5504,"Level 4 Extraocular, Repair, and Plastic Eye Procedures",,,4417,4579,24604.868501856,3512.4920353789,2788.8030618039,101,4557.8919940594
National,,National,APC,5627,Level 7 Radiation Therapy,,,8205,9045,76150.018060807,7730.5350558319,6223.4680972913,2623,5199.8691949676
National,,National,APC,5881,Ancillary Outpatient Services When Patient Dies,,,287,287,102675.46759582,11808.678362369,10220.058083624,82,6283.5424878049
National,,National,APC,8011,Comprehensive Observation Services,,,795392,864077,22845.985811276,2421.7611651277,1972.8436057203,8734,4893.3385133959
State,01,Alabama,APC,5072,Level 2 Excision/ Biopsy/ Incision and Drainage,,,4562,5086,10637.419248919,1287.6446185608,1017.4402870625,,
State,01,Alabama,APC,5073,Level 3 Excision/ Biopsy/ Incision and Drainage,,,1260,1302,19515.624132104,2172.6050384025,1714.3344546851,,
State,01,Alabama,APC,5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,689,702,26702.451410256,2958.8216096866,2340.8936894587,,
State,01,Alabama,APC,5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,,,699,701,46774.195121255,5090.2608559201,4023.5930527817,,
State,01,Alabama,APC,5093,Level 3 Breast/Lymphatic Surgery and Related Procedures,,,55,56,55557.28,7486.1007142857,5924.6108928571,,
State,01,Alabama,APC,5094,Level 4 Breast/Lymphatic Surgery and Related Procedures,,,40,42,137374.74380952,13104.381190476,11496.862380952,,
State,01,Alabama,APC,5112,Level 2 Musculoskeletal Procedures,,,1062,1094,17751.154652651,1216.0282084095,956.84956124314,0,0
State,01,Alabama,APC,5113,Level 3 Musculoskeletal Procedures,,,2202,2242,31341.752082962,2438.8798394291,1918.4683140054,,
State,01,Alabama,APC,5114,Level 4 Musculoskeletal Procedures,,,3511,3560,49974.396676966,5566.1276629213,4388.4667219101,12,4499.8415
State,01,Alabama,APC,5115,Level 5 Musculoskeletal Procedures,,,6891,7081,77728.876614886,11119.861924869,9518.2939796639,18,1385.3056777778
State,01,Alabama,APC,5116,Level 6 Musculoskeletal Procedures,,,441,448,102726.73419643,18337.671607143,16737.131785714,,
State,01,Alabama,APC,5153,Level 3 Airway Endoscopy,,,721,887,12110.204971815,1376.3117925592,1089.2619052987,,
State,01,Alabama,APC,5154,Level 4 Airway Endoscopy,,,759,817,27907.143855569,2812.3387392901,2218.1384210526,22,5048.8637818182
State,01,Alabama,APC,5155,Level 5 Airway Endoscopy,,,451,455,48426.140571429,5183.8434065934,4091.609010989,,
State,01,Alabama,APC,5163,Level 3 ENT Procedures,,,113,119,15351.63907563,1136.0498319328,884.00512605042,0,0
State,01,Alabama,APC,5164,Level 4 ENT Procedures,,,231,245,28884.561877551,2415.0881632653,1908.8410612245,,
State,01,Alabama,APC,5165,Level 5 ENT Procedures,,,612,620,39197.578564516,4567.1155806451,3613.8104677419,,
State,01,Alabama,APC,5166,Cochlear Implant Procedure,,,55,56,123671.46428571,29051.03,27451.03,0,0
State,01,Alabama,APC,5182,Level 2 Vascular Procedures,,,1206,1310,9053.384870229,1279.7631755725,1009.195259542,,
State,01,Alabama,APC,5183,Level 3 Vascular Procedures,,,2789,3036,22243.359528985,2534.5420685112,2000.3539031621,19,4710.6031368421
State,01,Alabama,APC,5184,Level 4 Vascular Procedures,,,1065,1173,33541.860537084,4347.6741432225,3437.6279283888,,
State,01,Alabama,APC,5191,Level 1 Endovascular Procedures,,,6155,6186,27846.492906563,2546.4860184287,1768.11714355,12,7128.21865
State,01,Alabama,APC,5192,Level 2 Endovascular Procedures,,,857,912,36638.156600877,4482.9105921053,3546.276129386,,
State,01,Alabama,APC,5193,Level 3 Endovascular Procedures,,,2524,2702,77944.301117691,9008.3995780903,7418.5908105107,77,2611.4412545455
State,01,Alabama,APC,5194,Level 4 Endovascular Procedures,,,510,525,100892.64485714,14697.731771428,13101.341066667,19,1625.4826736842
State,01,Alabama,APC,5200,Implantation Wireless PA Pressure Monitor,,,,,,,,,
State,01,Alabama,APC,5211,Level 1 Electrophysiologic Procedures,,,,,,,,,
State,01,Alabama,APC,5212,Level 2 Electrophysiologic Procedures,,,76,76,60628.452236842,5620.5463157895,4424.8836842105,,
State,01,Alabama,APC,5213,Level 3 Electrophysiologic Procedures,,,1644,1685,175029.82677745,19901.612919881,18298.692231454,96,3631.38356875
State,01,Alabama,APC,5222,Level 2 Pacemaker and Similar Procedures,,,444,447,51801.241834452,7025.8589485459,5556.2163758389,,
State,01,Alabama,APC,5223,Level 3 Pacemaker and Similar Procedures,,,1306,1307,69504.75130834,8903.2738561591,7300.245386381,,
State,01,Alabama,APC,5224,Level 4 Pacemaker and Similar Procedures,,,214,214,116342.88098131,16168.958598131,14570.624205607,13,4095.3988923077
State,01,Alabama,APC,5231,Level 1 ICD and Similar Procedures,,,110,110,140445.82727273,19111.182181818,17505.663545454,,
State,01,Alabama,APC,5232,Level 2 ICD and Similar Procedures,,,481,482,194778.15029046,27101.196431535,25496.330103734,,
State,01,Alabama,APC,5302,Level 2 Upper GI Procedures,,,4082,4475,15616.543164246,1494.707003352,1181.9172312849,,
State,01,Alabama,APC,5303,Level 3 Upper GI Procedures,,,303,307,28652.379739414,2756.0144299674,2177.5881758958,,
State,01,Alabama,APC,5313,Level 3 Lower GI Procedures,,,428,439,23239.354601367,2167.1266059225,1718.9448747153,0,0
State,01,Alabama,APC,5331,Complex GI Procedures,,,251,283,41329.460141343,4346.2271024735,3441.7477031802,,
State,01,Alabama,APC,5341,Abdominal/Peritoneal/Biliary and Related Procedures,,,851,884,31122.67520362,3026.5018665158,2392.7996153846,,
State,01,Alabama,APC,5361,Level 1 Laparoscopy and Related Services,,,2682,2698,41448.022816901,4397.9735211268,3461.8492068199,15,7009.9916133333
State,01,Alabama,APC,5362,Level 2 Laparoscopy and Related Services,,,1174,1179,68784.184215437,7710.4487192536,6108.6960305343,32,2426.9216125
State,01,Alabama,APC,5372,Level 2 Urology and Related Services,,,1461,1829,2969.9795243302,518.5645379989,408.48960634226,,
State,01,Alabama,APC,5373,Level 3 Urology and Related Services,,,1888,2155,15013.326993039,1579.0289095128,1245.720412993,0,0
State,01,Alabama,APC,5374,Level 4 Urology and Related Services,,,2510,2793,30141.246777658,2730.9534872897,2153.742792696,0,0
State,01,Alabama,APC,5375,Level 5 Urology and Related Services,,,1907,2016,31542.497113095,4047.0278670635,3199.6350644841,,
State,01,Alabama,APC,5376,Level 6 Urology and Related Services,,,227,235,44816.41,7419.539787234,5879.6781702128,,
State,01,Alabama,APC,5377,Level 7 Urology and Related Services,,,27,27,85403.529259259,9566.2203703704,7959.7607407407,0,0
State,01,Alabama,APC,5378,Level 8 Urology and Related Services,,,164,165,106239.43381818,15599.678242424,14002.842666667,,
State,01,Alabama,APC,5414,Level 4 Gynecologic Procedures,,,410,414,24391.848550725,2411.505531401,1897.4480434783,,
State,01,Alabama,APC,5415,Level 5 Gynecologic Procedures,,,321,322,36286.258695652,3939.9557763975,3105.3338198758,,
State,01,Alabama,APC,5416,Level 6 Gynecologic Procedures,,,179,180,44422.050777778,6026.7717777778,4771.8083888889,,
State,01,Alabama,APC,5431,Level 1 Nerve Procedures,,,1610,1775,16615.909414085,1501.3231661972,1180.6065971831,,
State,01,Alabama,APC,5432,Level 2 Nerve Procedures,,,29,29,41932.175862069,5024.8196551724,3914.7679310345,,
State,01,Alabama,APC,5461,Level 1 Neurostimulator and Related Procedures,,,84,85,44386.253058824,2755.7948235294,2177.1931764706,,
State,01,Alabama,APC,5462,Level 2 Neurostimulator and Related Procedures,,,224,254,29739.53996063,5232.312480315,4137.8578740157,0,0
State,01,Alabama,APC,5463,Level 3 Neurostimulator and Related Procedures,,,11,11,56492.566363636,9966.7663636364,8439.4936363636,,
State,01,Alabama,APC,5464,Level 4 Neurostimulator and Related Procedures,,,296,308,89242.675162338,18361.715454545,16761.715454545,,
State,01,Alabama,APC,5465,Level 5 Neurostimulator and Related Procedures,,,347,352,156348.61136364,24441.289375,22839.098977273,0,0
State,01,Alabama,APC,5471,Implantation of Drug Infusion Device,,,24,24,86854.56125,12946.89375,11346.89375,0,0
State,01,Alabama,APC,5491,Level 1 Intraocular Procedures,,,3837,5941,9326.3430163272,1813.7901060427,1432.0396044437,0,0
State,01,Alabama,APC,5492,Level 2 Intraocular Procedures,,,1291,1451,18237.401123363,3396.1638662991,2687.12,0,0
State,01,Alabama,APC,5493,Level 3 Intraocular Procedures,,,,,,,,,
State,01,Alabama,APC,5494,Level 4 Intraocular Procedures,,,,,,,,,
State,01,Alabama,APC,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",,,551,561,8989.5466488414,1832.9046524064,1453.7117468806,0,0
State,01,Alabama,APC,5504,"Level 4 Extraocular, Repair, and Plastic Eye Procedures",,,84,84,11281.846428571,3002.2548809524,2379.2105952381,0,0
State,01,Alabama,APC,5627,Level 7 Radiation Therapy,,,103,110,44959.283,6654.6202727273,5282.2162727273,,
State,01,Alabama,APC,5881,Ancillary Outpatient Services When Patient Dies,,,,,,,,,
State,01,Alabama,APC,8011,Comprehensive Observation Services,,,8404,8910,16376.730050505,2080.7992693603,1652.0980572391,11,4461.5159272727
State,02,Alaska,APC,5072,Level 2 Excision/ Biopsy/ Incision and Drainage,,,728,753,11389.248857902,1650.6993625498,1308.0708499336,,
State,02,Alaska,APC,5073,Level 3 Excision/ Biopsy/ Incision and Drainage,,,140,141,20302.624397163,2874.9143971631,2280.2281560284,0,0
State,02,Alaska,APC,5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,94,95,25326.535789474,3847.9363157895,3065.8315789474,0,0
State,02,Alaska,APC,5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,,,125,126,45466.54015873,6613.9962698413,5261.2964285714,,
State,02,Alaska,APC,5093,Level 3 Breast/Lymphatic Surgery and Related Procedures,,,,,,,,,
State,02,Alaska,APC,5094,Level 4 Breast/Lymphatic Surgery and Related Procedures,,,,,,,,,
State,02,Alaska,APC,5112,Level 2 Musculoskeletal Procedures,,,178,185,11662.330486486,1600.3004864865,1266.3993513514,,
State,02,Alaska,APC,5113,Level 3 Musculoskeletal Procedures,,,232,232,21765.976681034,3334.2776293103,2647.1804310345,,
State,02,Alaska,APC,5114,Level 4 Musculoskeletal Procedures,,,372,373,60550.288525469,7521.0362466488,5970.5691689008,11,2404.7355818182
State,02,Alaska,APC,5115,Level 5 Musculoskeletal Procedures,,,1145,1188,150349.38962963,14534.64736532,12934.444814815,161,6262.8164260869
State,02,Alaska,APC,5116,Level 6 Musculoskeletal Procedures,,,30,30,195585.36366667,24221.576666667,22621.576666667,,
State,02,Alaska,APC,5153,Level 3 Airway Endoscopy,,,40,42,17165.242142857,1730.96,1361.1952380952,0,0
State,02,Alaska,APC,5154,Level 4 Airway Endoscopy,,,98,101,34265.691584158,3545.8334653465,2819.2603960396,0,0
State,02,Alaska,APC,5155,Level 5 Airway Endoscopy,,,24,24,49880.9575,6402.5591666667,5055.3529166667,0,0
State,02,Alaska,APC,5163,Level 3 ENT Procedures,,,,,,,,,
State,02,Alaska,APC,5164,Level 4 ENT Procedures,,,28,28,23142.381071428,2955.1489285714,2330.7896428571,0,0
State,02,Alaska,APC,5165,Level 5 ENT Procedures,,,39,42,46819.382857143,5882.4578571429,4686.834047619,,
State,02,Alaska,APC,5166,Cochlear Implant Procedure,,,26,26,89463.967307692,36512.95,34912.95,0,0
State,02,Alaska,APC,5182,Level 2 Vascular Procedures,,,109,113,10445.443362832,1633.5384955752,1296.5246017699,,
State,02,Alaska,APC,5183,Level 3 Vascular Procedures,,,488,514,25080.722003891,3309.4955252918,2630.0542996109,12,4881.5057666667
State,02,Alaska,APC,5184,Level 4 Vascular Procedures,,,85,88,58423.305795455,5674.8564772727,4517.0594318182,,
State,02,Alaska,APC,5191,Level 1 Endovascular Procedures,,,593,595,45976.811478991,3312.1232268908,2324.1651764706,59,4663.6771525424
State,02,Alaska,APC,5192,Level 2 Endovascular Procedures,,,293,377,42524.85259947,5771.4361803714,4587.6775066313,21,6178.8108666667
State,02,Alaska,APC,5193,Level 3 Endovascular Procedures,,,312,332,111602.17683735,11586.569487952,10011.812861446,78,3821.7487179487
State,02,Alaska,APC,5194,Level 4 Endovascular Procedures,,,48,48,133516.161875,18940.887708333,17336.410208333,,
State,02,Alaska,APC,5211,Level 1 Electrophysiologic Procedures,,,,,,,,,
State,02,Alaska,APC,5212,Level 2 Electrophysiologic Procedures,,,18,18,51999.797777778,7397.77,5894.16,0,0
State,02,Alaska,APC,5213,Level 3 Electrophysiologic Procedures,,,289,295,158547.22138983,25645.976338983,24045.210237288,0,0
State,02,Alaska,APC,5222,Level 2 Pacemaker and Similar Procedures,,,26,26,41415.674615385,8988.9730769231,7388.9730769231,0,0
State,02,Alaska,APC,5223,Level 3 Pacemaker and Similar Procedures,,,82,82,55477.862195122,11323.795609756,9723.1892682927,,
State,02,Alaska,APC,5224,Level 4 Pacemaker and Similar Procedures,,,66,66,79469.873787879,20464.978484848,18861.554242424,0,0
State,02,Alaska,APC,5231,Level 1 ICD and Similar Procedures,,,,,,,,,
State,02,Alaska,APC,5232,Level 2 ICD and Similar Procedures,,,38,38,99479.128947368,35133.36,33533.36,0,0
State,02,Alaska,APC,5302,Level 2 Upper GI Procedures,,,283,311,15082.824951768,1940.5062379421,1542.482829582,,
State,02,Alaska,APC,5303,Level 3 Upper GI Procedures,,,31,31,30143.613548387,3437.2503225806,2696.5458064516,,
State,02,Alaska,APC,5313,Level 3 Lower GI Procedures,,,40,42,22316.467142857,2837.425952381,2252.1988095238,0,0
State,02,Alaska,APC,5331,Complex GI Procedures,,,32,35,41606.966285714,5816.7757142857,4634.4957142857,0,0
State,02,Alaska,APC,5341,Abdominal/Peritoneal/Biliary and Related Procedures,,,150,154,25536.718571429,3945.9683116883,3126.9077272727,,
State,02,Alaska,APC,5361,Level 1 Laparoscopy and Related Services,,,397,401,39847.107481297,5818.8479551122,4615.3228927681,,
State,02,Alaska,APC,5362,Level 2 Laparoscopy and Related Services,,,237,239,62316.989205021,10045.460125523,8445.2037656904,,
State,02,Alaska,APC,5372,Level 2 Urology and Related Services,,,110,152,3142.5643421053,731.45842105263,579.75072368421,0,0
State,02,Alaska,APC,5373,Level 3 Urology and Related Services,,,195,240,12039.438166667,2080.5192916667,1652.5438333333,0,0
State,02,Alaska,APC,5374,Level 4 Urology and Related Services,,,292,325,19332.430307692,3590.9201538461,2855.4508307692,,
State,02,Alaska,APC,5375,Level 5 Urology and Related Services,,,304,325,27860.567446154,5276.2590461538,4197.6002769231,,
State,02,Alaska,APC,5376,Level 6 Urology and Related Services,,,,,,,,,
State,02,Alaska,APC,5378,Level 8 Urology and Related Services,,,,,,,,,
State,02,Alaska,APC,5414,Level 4 Gynecologic Procedures,,,67,67,20848.566716418,3172.4989552239,2519.6376119403,,
State,02,Alaska,APC,5415,Level 5 Gynecologic Procedures,,,51,51,29058.121372549,5082.701372549,4017.2766666667,0,0
State,02,Alaska,APC,5416,Level 6 Gynecologic Procedures,,,21,21,29065.852380952,7815.2766666667,6235.1295238095,0,0
State,02,Alaska,APC,5431,Level 1 Nerve Procedures,,,120,132,13474.026212121,2054.6573484848,1623.6904545454,0,0
State,02,Alaska,APC,5432,Level 2 Nerve Procedures,,,,,,,,,
State,02,Alaska,APC,5461,Level 1 Neurostimulator and Related Procedures,,,,,,,,,
State,02,Alaska,APC,5462,Level 2 Neurostimulator and Related Procedures,,,,,,,,,
State,02,Alaska,APC,5464,Level 4 Neurostimulator and Related Procedures,,,16,16,72573.04625,24098.80375,22498.80375,0,0
State,02,Alaska,APC,5465,Level 5 Neurostimulator and Related Procedures,,,39,40,164084.0275,32364.648,30764.648,0,0
State,02,Alaska,APC,5471,Implantation of Drug Infusion Device,,,19,19,141650.28421053,18567.89368421,16967.194736842,0,0
State,02,Alaska,APC,5491,Level 1 Intraocular Procedures,,,363,578,8254.6393252595,2191.9148096886,1745.375934256,0,0
State,02,Alaska,APC,5492,Level 2 Intraocular Procedures,,,,,,,,,
State,02,Alaska,APC,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",,,,,,,,,
State,02,Alaska,APC,5504,"Level 4 Extraocular, Repair, and Plastic Eye Procedures",,,,,,,,,
State,02,Alaska,APC,5627,Level 7 Radiation Therapy,,,12,14,87945.571428571,8447.85,6847.85,,
State,02,Alaska,APC,8011,Comprehensive Observation Services,,,1419,1584,28726.908787879,2761.3652020202,2298.3151325757,69,5671.9299507246
State,04,Arizona,APC,5072,Level 2 Excision/ Biopsy/ Incision and Drainage,,,5857,6264,11741.305454981,1516.2430906769,1203.4146040868,,
State,04,Arizona,APC,5073,Level 3 Excision/ Biopsy/ Incision and Drainage,,,2808,3102,19562.868575113,2576.965967118,2048.0630109607,19,4970.8287263158
State,04,Arizona,APC,5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,1202,1246,30705.117592295,3460.9959470305,2750.0277126806,,
State,04,Arizona,APC,5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,,,1350,1356,53495.860744838,6015.6053539823,4787.9864306785,52,3296.7965153846
State,04,Arizona,APC,5093,Level 3 Breast/Lymphatic Surgery and Related Procedures,,,164,168,94228.867202381,8807.3846428571,7203.7619047619,40,4564.22407
State,04,Arizona,APC,5094,Level 4 Breast/Lymphatic Surgery and Related Procedures,,,81,84,138235.31166667,16886.782857143,15281.477142857,,
State,04,Arizona,APC,5112,Level 2 Musculoskeletal Procedures,,,1523,1580,13241.032487342,1450.4348164557,1148.4422468354,,
State,04,Arizona,APC,5113,Level 3 Musculoskeletal Procedures,,,2312,2357,27385.886279168,3004.0845226983,2383.8953882053,25,4395.927592
State,04,Arizona,APC,5114,Level 4 Musculoskeletal Procedures,,,3318,3344,55958.602485048,6696.1808941387,5318.1941148325,117,3327.4616786325
State,04,Arizona,APC,5115,Level 5 Musculoskeletal Procedures,,,11024,11450,86647.77701048,13156.945846288,11556.046747598,121,1935.5786429752
