state_abbr,county_name,hospital_name,city,wait_text,wait_minutes,detail_url,detail_name,detail_address,detail_city,detail_state,detail_zip,detail_phone,detail_hospital_type,detail_emergency_services,detail_mortality_overall_text,detail_mortality_overall_percent,detail_mortality_overall_direction,detail_mortality_heart_attack_percent,detail_mortality_stroke_percent,detail_mortality_heart_failure_percent,detail_mortality_pneumonia_percent,detail_c_diff_cases,detail_mrsa_cases,detail_avg_time_in_ed_minutes,detail_overall_patient_rating,detail_positive_patient_ratings,detail_negative_patient_ratings,source_url,scrape_ts,ed_minutes_rating,detail_overall_patient_rating_points,mortality_overall_contribution,total_quality_points,adj_total_heartattack,adj_total_stroke,adj_total_heartfailure,adj_total_pneu,lat,lon,full_address
AL,Hale,Hale County Hospital,Greensboro,1h 54m,114.0,https://www.hospitalstats.org/hospital-ratings/hale-county-hospital-greensboro-al.htm,Hale County Hospital Ratings,508 Green Street,Greensboro,AL,36744.0,(334) 624-3024,Acute Care Hospitals,YES,,,,,,,,0.0,0.0,114.0,POOR,,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Hale-County-AL.htm,2025-10-18T17:00:01.296128+00:00,10,5,mortality not used,15,"no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15",,,"508 Green Street, Greensboro, AL 36744"
AL,Jefferson,Callahan Eye Hospital,Birmingham,1h 42m,102.0,https://www.hospitalstats.org/hospital-ratings/callahan-eye-hospital-birmingham-al.htm,Callahan Eye Hospital Ratings,1720 University Blvd Ste 305,Birmingham,AL,35233.0,(205) 325-8596,Acute Care Hospitals,YES,,,,,,,,0.0,0.0,102.0,POOR,,Nurses often fail to communicate; Doctors often fail to communicate with patients,https://www.hospitalstats.org/ER-Wait-Time/Jefferson-County-AL.htm,2025-10-18T17:00:17.340835+00:00,10,5,mortality not used,15,"no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15",,,"1720 University Boulevard Ste 305, Birmingham, AL 35233"
AL,Jefferson,Brookwood Baptist Medical Center,Vestavia,2h 31m,151.0,https://www.hospitalstats.org/hospital-ratings/brookwood-baptist-medical-center-vestavia-al.htm,Brookwood Baptist Medical Center Ratings,1280 Columbiana Road Ste 102,Vestavia,AL,35216.0,(205) 877-1000,Acute Care Hospitals,YES,4% worse,4.0,worse,14.8,14.9,12.3,16.9,9.0,2.0,151.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Jefferson-County-AL.htm,2025-10-18T17:00:17.340835+00:00,10,7,4% worse (±0),17,15,15,15,14,,,"1280 Columbiana Road Ste 102, Vestavia, AL 35216"
AL,Jefferson,The Children's Hospital Of Alabama,Birmingham,,,https://www.hospitalstats.org/hospital-ratings/the-childrens-hospital-of-alabama-birmingham-al.htm,The Children's Hospital Of Alabama Ratings,1600 Seventh Avenue South,Birmingham,AL,35233.0,(205) 939-9100,Childrens,YES,,,,,,,,,,,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Jefferson-County-AL.htm,2025-10-18T17:00:17.340835+00:00,wait time rating not available,5,mortality not used,14,"no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14",,,"1600 Seventh Avenue South, Birmingham, AL 35233"
AL,Madison,Crestwood Medical Center,Huntsville,3h 16m,196.0,https://www.hospitalstats.org/hospital-ratings/crestwood-medical-center-huntsville-al.htm,Crestwood Medical Center Ratings,One Hospital Dr Se,Huntsville,AL,35801.0,(256) 882-3100,Acute Care Hospitals,YES,1% worse,1.0,worse,12.0,14.9,11.4,18.8,4.0,2.0,196.0,AVERAGE,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Madison-County-AL.htm,2025-10-18T17:00:28.373336+00:00,8,7,1% worse (±0),15,13,13,13,12,,,"One Hospital Drive Se, Huntsville, AL 35801"
AL,Marengo,Whitfield Regional Hospital,Demopolis,2h 2m,122.0,https://www.hospitalstats.org/hospital-ratings/whitfield-regional-hospital-demopolis-al.htm,Whitfield Regional Hospital Ratings,105 Highway 80 East,Demopolis,AL,36732.0,(334) 289-4000,Acute Care Hospitals,YES,7% worse,7.0,worse,,,13.1,19.2,1.0,0.0,122.0,AVERAGE,Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Marengo-County-AL.htm,2025-10-18T17:00:30.364599+00:00,10,7,7% worse (±0),17,"no data for specific chief complaint, quality point remains at 17","no data for specific chief complaint, quality point remains at 17",15,14,,,"105 Highway 80 East, Demopolis, AL 36732"
AL,Marshall,Marshall Medical Centers,Boaz,2h 27m,147.0,https://www.hospitalstats.org/hospital-ratings/marshall-medical-centers-boaz-al.htm,Marshall Medical Centers Ratings,2505 U S Highway 431 North,Boaz,AL,35957.0,(256) 593-8310,Acute Care Hospitals,YES,16% worse,16.0,worse,13.6,15.3,14.9,23.3,4.0,3.0,147.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Marshall-County-AL.htm,2025-10-18T17:00:34.459328+00:00,10,7,16% worse (±1),16,14,13,14,12,,,"2505 U S Highway 431 North, Boaz, AL 35957"
AL,Pike,Troy Regional Medical Center,Troy,1h 41m,101.0,https://www.hospitalstats.org/hospital-ratings/troy-regional-medical-center-troy-al.htm,Troy Regional Medical Center Ratings,1330 Highway 231 South,Troy,AL,36081.0,(334) 670-5000,Acute Care Hospitals,YES,15% worse,15.0,worse,,,14.0,21.4,0.0,0.0,101.0,AVERAGE,Nurses usually take time to communicate well; Rooms and facilities are usually clean; Rooms were often quiet at night,,https://www.hospitalstats.org/ER-Wait-Time/Pike-County-AL.htm,2025-10-18T17:00:53.970236+00:00,10,7,15% worse (±1),16,"no data for specific chief complaint, quality point remains at 16","no data for specific chief complaint, quality point remains at 16",14,12,,,"1330 Highway 231 South, Troy, AL 36081"
AL,Shelby,Shelby Baptist Medical Center,Alabaster,3h 5m,185.0,https://www.hospitalstats.org/hospital-ratings/shelby-baptist-medical-center-alabaster-al.htm,Shelby Baptist Medical Center Ratings,1000 First Street North,Alabaster,AL,35007.0,(205) 620-8100,Acute Care Hospitals,YES,6% better,6.0,better,13.1,13.2,9.9,17.2,7.0,4.0,185.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Shelby-County-AL.htm,2025-10-18T17:01:00.786510+00:00,9,7,6% better (±0),16,14,14,15,13,,,"1000 First Street North, Alabaster, AL 35007"
AL,Tallapoosa,Russell Medical Center,Alexander City,2h 27m,147.0,https://www.hospitalstats.org/hospital-ratings/russell-medical-center-alexander-city-al.htm,Russell Medical Center Ratings,3316 Highway 280,Alexander City,AL,35010.0,(256) 329-7100,Acute Care Hospitals,YES,8% worse,8.0,worse,,,12.4,20.2,4.0,0.0,147.0,AVERAGE,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Doctors usually communicate well with patients; Patients usually receive help when they request it; Rooms were often quiet at night,Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Tallapoosa-County-AL.htm,2025-10-18T17:01:08.670152+00:00,10,7,8% worse (±0),17,"no data for specific chief complaint, quality point remains at 17","no data for specific chief complaint, quality point remains at 17",15,13,,,"3316 Highway 280, Alexander City, AL 35010"
AL,Walker,Walker Baptist Medical Center,Jasper,2h 31m,151.0,https://www.hospitalstats.org/hospital-ratings/walker-baptist-medical-center-jasper-al.htm,Walker Baptist Medical Center Ratings,3400 Highway 78 East,Jasper,AL,35502.0,(205) 387-4000,Acute Care Hospitals,YES,7% worse,7.0,worse,,14.4,12.8,19.8,3.0,2.0,151.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Walker-County-AL.htm,2025-10-18T17:01:13.573387+00:00,10,7,7% worse (±0),17,"no data for specific chief complaint, quality point remains at 17",15,15,14,,,"3400 Highway 78 East, Jasper, AL 35502"
AL,Winston,Lakeland Community Hospital,Haleyville,1h 6m,66.0,https://www.hospitalstats.org/hospital-ratings/lakeland-community-hospital-haleyville-al.htm,Lakeland Community Hospital Ratings,42024 Highway 195 E,Haleyville,AL,35565.0,(205) 485-7117,Acute Care Hospitals,YES,4% better,4.0,better,,,12.9,16.0,0.0,0.0,66.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,,https://www.hospitalstats.org/ER-Wait-Time/Winston-County-AL.htm,2025-10-18T17:01:16.502207+00:00,10,10,4% better (±0),20,"no data for specific chief complaint, quality point remains at 20","no data for specific chief complaint, quality point remains at 20",18,17,,,"42024 Highway 195 E, Haleyville, AL 35565"
AR,Chicot,Chicot Memorial Medical Center,Lake Village,1h 53m,113.0,https://www.hospitalstats.org/hospital-ratings/chicot-memorial-medical-center-lake-village-ar.htm,Chicot Memorial Medical Center Ratings,2729 South Highway 65 & 82,Lake Village,AR,71653.0,(870) 265-5351,Critical Access Hospitals,YES,11% worse,11.0,worse,,,,20.4,0.0,0.0,113.0,POOR,Rooms were often quiet at night,Nurses often fail to communicate; Doctors often fail to communicate with patients,https://www.hospitalstats.org/ER-Wait-Time/Chicot-County-AR.htm,2025-10-18T17:01:35.997830+00:00,10,5,11% worse (±1),14,"no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14",10,,,"2729 South Highway 65 & 82, Lake Village, AR 71653"
AR,Cleburne,Baptist Health Medical Center Heber Springs,Heber Springs,2h 16m,136.0,https://www.hospitalstats.org/hospital-ratings/baptist-health-medical-center-heber-springs-heber-springs-ar.htm,Baptist Health Medical Center Heber Springs Ratings,1800 Bypass Road,Heber Springs,AR,72543.0,(501) 887-3000,Critical Access Hospitals,YES,1% better,1.0,better,,,12.0,17.8,0.0,0.0,136.0,POOR,Rooms and facilities are usually clean,,https://www.hospitalstats.org/ER-Wait-Time/Cleburne-County-AR.htm,2025-10-18T17:01:41.791137+00:00,10,5,1% better (±0),15,"no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15",13,12,,,"1800 Bypass Road, Heber Springs, AR 72543"
AR,Craighead,St Bernards Medical Center,Jonesboro,3h 34m,214.0,https://www.hospitalstats.org/hospital-ratings/st-bernards-medical-center-jonesboro-ar.htm,St Bernards Medical Center Ratings,225 E Washiington Avenue,Jonesboro,AR,72401.0,(870) 972-4100,Acute Care Hospitals,YES,13% worse,13.0,worse,14.9,18.2,12.5,19.7,49.0,9.0,214.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Craighead-County-AR.htm,2025-10-18T17:01:48.519126+00:00,8,7,13% worse (±1),14,12,11,12,11,,,"225 E Washiington Avenue, Jonesboro, AR 72401"
AR,Crittenden,Baptist Memorial Hospital-Crittenden,West Memphis,2h 20m,140.0,https://www.hospitalstats.org/hospital-ratings/baptist-memorial-hospital-crittenden-west-memphis-ar.htm,Baptist Memorial Hospital-Crittenden Ratings,2100 North Seventh Street,West Memphis,AR,72301.0,(870) 394-7800,Acute Care Hospitals,YES,2% worse,2.0,worse,,,10.8,19.7,1.0,0.0,140.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Crittenden-County-AR.htm,2025-10-18T17:01:52.430821+00:00,10,5,2% worse (±0),15,"no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15",13,12,,,"2100 North Seventh Street, West Memphis, AR 72301"
AR,Desha,Mcgehee Hospital,Mcgehee,2h 13m,133.0,https://www.hospitalstats.org/hospital-ratings/mcgehee-hospital-mcgehee-ar.htm,Mcgehee Hospital Ratings,900 South Third Street,Mcgehee,AR,71654.0,(870) 222-5600,Critical Access Hospitals,YES,,,,,,,,,,133.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Desha-County-AR.htm,2025-10-18T17:01:59.195693+00:00,10,5,mortality not used,15,"no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15","no data for specific chief complaint, quality point remains at 15",,,"900 South Third Street, Mcgehee, AR 71654"
AR,Desha,Delta Memorial Hospital,Dumas,,,https://www.hospitalstats.org/hospital-ratings/delta-memorial-hospital-dumas-ar.htm,Delta Memorial Hospital Ratings,811 Highway 65 South,Dumas,AR,71639.0,(870) 382-4303,Critical Access Hospitals,YES,8% worse,8.0,worse,,,,19.8,,,,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Desha-County-AR.htm,2025-10-18T17:01:59.195693+00:00,wait time rating not available,5,8% worse (±0),14,"no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14",11,,,"811 Highway 65 South, Dumas, AR 71639"
AR,Greene,Arkansas Methodist Medical Center,Paragould,2h 39m,159.0,https://www.hospitalstats.org/hospital-ratings/arkansas-methodist-medical-center-paragould-ar.htm,Arkansas Methodist Medical Center Ratings,900 West Kingshighway,Paragould,AR,72450.0,(870) 239-7000,Acute Care Hospitals,YES,6% worse,6.0,worse,12.6,15.4,13.8,18.5,2.0,0.0,159.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,https://www.hospitalstats.org/ER-Wait-Time/Greene-County-AR.htm,2025-10-18T17:02:13.072765+00:00,10,7,6% worse (±0),17,15,14,15,14,,,"900 West Kingshighway, Paragould, AR 72450"
AR,Pulaski,Arkansas Surgical Hospital,No Little Rock,2h 27m,147.0,https://www.hospitalstats.org/hospital-ratings/arkansas-surgical-hospital-no-little-rock-ar.htm,Arkansas Surgical Hospital Ratings,5201 North Shore Drive,No Little Rock,AR,72118.0,(501) 748-8000,Acute Care Hospitals,YES,,,,,,,,0.0,0.0,147.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it,,https://www.hospitalstats.org/ER-Wait-Time/Pulaski-County-AR.htm,2025-10-18T17:02:55.427840+00:00,10,10,mortality not used,20,"no data for specific chief complaint, quality point remains at 20","no data for specific chief complaint, quality point remains at 20","no data for specific chief complaint, quality point remains at 20","no data for specific chief complaint, quality point remains at 20",,,"5201 North Shore Drive, No Little Rock, AR 72118"
AR,Pulaski,Chi-St Vincent Infirmary,Little Rock,2h 56m,176.0,https://www.hospitalstats.org/hospital-ratings/chi-st-vincent-infirmary-little-rock-ar.htm,Chi-St Vincent Infirmary Ratings,Two St Vincent Circle,Little Rock,AR,72205.0,(501) 552-3000,Acute Care Hospitals,YES,6% worse,6.0,worse,11.6,16.7,12.4,19.2,16.0,3.0,176.0,AVERAGE,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Pulaski-County-AR.htm,2025-10-18T17:02:55.427840+00:00,9,7,6% worse (±0),16,14,13,14,13,,,"Two Street Vincent Circle, Little Rock, AR 72205"
AR,Pulaski,Uams Medical Center,Little Rock,5h 0m,300.0,https://www.hospitalstats.org/hospital-ratings/uams-medical-center-little-rock-ar.htm,Uams Medical Center Ratings,4301 West Markham Street Mail Slot 612,Little Rock,AR,72205.0,(501) 686-5000,Acute Care Hospitals,YES,4% worse,4.0,worse,12.4,16.6,13.4,16.3,33.0,16.0,300.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Pulaski-County-AR.htm,2025-10-18T17:02:55.427840+00:00,5,7,4% worse (±0),12,10,9,10,9,,,"4301 West Markham Street Mail Slot 612, Little Rock, AR 72205"
AR,Pulaski,Va Central Ar. Veterans Healthcare System Lr,Little Rock,,,https://www.hospitalstats.org/hospital-ratings/va-central-ar-veterans-healthcare-system-lr-little-rock-ar.htm,Va Central Ar. Veterans Healthcare System Lr Ratings,4300 West Seventh Street,Little Rock,AR,72205.0,(501) 257-1000,Acute Care - Veterans Administration,YES,15% better,15.0,better,12.9,,8.2,15.8,,,,AVERAGE,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Pulaski-County-AR.htm,2025-10-18T17:02:55.427840+00:00,wait time rating not available,7,15% better (±1),17,15,"no data for specific chief complaint, quality point remains at 17",16,14,,,"4300 West Seventh Street, Little Rock, AR 72205"
AR,Pulaski,Arkansas Children's Hospital,Little Rock,,,https://www.hospitalstats.org/hospital-ratings/arkansas-childrens-hospital-little-rock-ar.htm,Arkansas Children's Hospital Ratings,"1 Children's Way, Slot 301",Little Rock,AR,72202.0,(501) 364-1100,Childrens,YES,,,,,,,,,,,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,https://www.hospitalstats.org/ER-Wait-Time/Pulaski-County-AR.htm,2025-10-18T17:02:55.427840+00:00,wait time rating not available,5,mortality not used,14,"no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14","no data for specific chief complaint, quality point remains at 14",,,"1 Children's Way, Slot 301, Little Rock, AR 72202"
