Hospital_Name,Address,City,State,ZIP,Top_Procedures
Lake Martin Community Hospital,AL,Dadeville,201 Mariarden Road,36853,Comprehensive Observation Services
Flowers Hospital,AL,Dothan,4370 West Main Street,36305,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
St Vincent's Birmingham,AL,Birmingham,810 St Vincent's Drive,35205,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Bibb Medical Center,AL,Centreville,208 Pierson Ave,35042,Comprehensive Observation Services | Level 1 Intraocular Procedures | Level 3 Vascular Procedures
Lawrence Medical Center,AL,Moulton,202 Hospital Street,35650,Comprehensive Observation Services | Level 2 Musculoskeletal Procedures | Level 3 Musculoskeletal Procedures
Highlands Medical Center,AL,Scottsboro,380 Woods Cove Road,35768,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Wiregrass Medical Center,AL,Geneva,1200 W Maple Avenue,36340,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Russell Medical Center,AL,Alexander City,3316 Highway 280,35010,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Medical Center Barbour,AL,Eufaula,820 W Washington St,36027,Comprehensive Observation Services | Level 1 Laparoscopy and Related Services | Level 2 Excision/ Biopsy/ Incision and Drainage
Clay County Hospital,AL,Ashland,83825 Highway 9    P O Box 1270,36251,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Intraocular Procedures
Northeast Alabama Regional Medical Center,AL,Anniston,400 East 10th Street,36207,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Athens Limestone Hospital,AL,Athens,700 West Market Street,35611,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
South Baldwin Regional Medical Center,AL,Foley,1613 North Mckenzie Street,36535,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Decatur Morgan Hospital-Decatur Campus,AL,Decatur,1201 7th Street Se,35601,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Northwest Medical Center,AL,Winfield,1530 U S Highway 43,35594,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Intraocular Procedures
Usa Health University Hospital,AL,Mobile,2451 Fillingim Street,36617,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Walker Baptist Medical Center,AL,Jasper,3400 Highway 78 East,35502,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Providence Hospital,AL,Mobile,6801 Airport Boulevard,36608,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Grove Hill Memorial Hospital,AL,Grove Hill,295 Jackson Hwy S,36451,Comprehensive Observation Services | Level 1 Laparoscopy and Related Services | Level 3 Excision/ Biopsy/ Incision and Drainage
Dch Regional Medical Center,AL,Tuscaloosa,809 University Boulevard East,35401,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Hale County Hospital,AL,Greensboro,508 Green Street,36744,Comprehensive Observation Services
Elmore Community Hospital,AL,Wetumpka,500 Hospital Drive,36092,Comprehensive Observation Services | Level 1 Intraocular Procedures | Level 1 Laparoscopy and Related Services
D W Mcmillan Memorial Hospital,AL,Brewton,1301 Belleville Avenue,36426,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Thomas Hospital,AL,Fairhope,750 Morphy Avenue,36532,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Citizens Baptist Medical Center,AL,Talladega,604 Stone Avenue,35161,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
J Paul Jones Hospital,AL,Camden,317 Mcwilliams Avenue,36726,Comprehensive Observation Services
Princeton Baptist Medical Center,AL,Birmingham,701 Princeton Avenue Southwest,35211,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Grandview Medical Center,AL,Birmingham,3690 Grandview Parkway,35243,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Prattville Baptist Hospital,AL,Prattville,124 S Memorial Dr,36067,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Intraocular Procedures
Bullock County Hospital,AL,Union Springs,102 West Conecuh Avenue,36089,Comprehensive Observation Services
Whitfield Regional Hospital,AL,Demopolis,105 Highway 80 East,36732,Comprehensive Observation Services | Level 1 Intraocular Procedures | Level 1 Laparoscopy and Related Services
Mobile Infirmary Medical Center,AL,Mobile,5 Mobile Infirmary Circle,36607,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
"Medical West, An Affiliate Of Uab Health System",AL,Bessemer,995 9th Avenue Southwest,35021,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Vaughan Regional Medical Center Parkway Campus,AL,Selma,1015 Medical Center Parkway,36701,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Monroe County Hospital,AL,Monroeville,2016 South Alabama Avenue,36460,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Lakeland Community Hospital,AL,Haleyville,42024 Highway 195 E,35565,Comprehensive Observation Services | Level 2 Vascular Procedures | Level 3 Vascular Procedures
Troy Regional Medical Center,AL,Troy,1330 Highway 231 South,36081,Comprehensive Observation Services | Level 1 Laparoscopy and Related Services | Level 1 Nerve Procedures
Jackson Medical Center,AL,Jackson,220 Hospital Drive,36545,Comprehensive Observation Services
North Baldwin Infirmary,AL,Bay Minette,1815 Hand Avenue,36507,Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures | Level 1 Laparoscopy and Related Services
St Vincent's St Clair,AL,Pell City,7063 Veterans Parkway,35125,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Crestwood Medical Center,AL,Huntsville,One Hospital Dr Se,35801,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Brookwood Baptist Medical Center,AL,Vestavia,1280 Columbiana Road Ste 102,35216,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Springhill Memorial Hospital,AL,Mobile,3719 Dauphin Street,36608,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Evergreen Medical Center,AL,Evergreen,101 Crestview Avenue,36401,Comprehensive Observation Services | Level 2 Vascular Procedures
Baptist Medical Center East,AL,Montgomery,400 Taylor Road,36117,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Regional Medical Center Of Central Alabama,AL,Greenville,29 L V Stabler Drive,36037,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Intraocular Procedures
North Alabama Shoals Hospital,AL,Muscle Shoals,201 West Avalon Avenue,35661,Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures | Level 1 Intraocular Procedures
Russellville Hospital,AL,Russellville,15155 Highway 43,35653,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Coosa Valley Medical Center,AL,Sylacauga,315 W Hickory St,35150,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Jack Hughston Memorial Hospital,AL,Phenix City,4401 River Chase Drive,36867,Comprehensive Observation Services | Level 1 Laparoscopy and Related Services | Level 1 Nerve Procedures
Atmore Community Hospital,AL,Atmore,401 Medical Park Drive,36502,Comprehensive Observation Services | Level 2 Excision/ Biopsy/ Incision and Drainage
St Vincent's Chilton,AL,Clanton,2030 Lay Dam Road,35045,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Thomasville Regional Medical Center,AL,Thomasville,300 Med Park Drive,36784,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Laparoscopy and Related Services
Eamc - Lanier,AL,Valley,4800 48th Street,36854,Comprehensive Observation Services | Level 2 Excision/ Biopsy/ Incision and Drainage | Level 2 Musculoskeletal Procedures
Children's Hospital Of Alabama,AL,Birmingham,1600 Seventh Avenue South,35233,Comprehensive Observation Services | Level 1 Endovascular Procedures | Level 1 Laparoscopy and Related Services
Usa Health Children's & Women's Hospital,AL,Mobile,1700 Center Street,36604,Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures | Level 1 Laparoscopy and Related Services
Providence Alaska Medical Center,AK,Anchorage,3200 Providence Drive,99508,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Mat-Su Regional Medical Center,AK,Palmer,2500 South Woodworth Loop,99645,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Bartlett Regional Hospital,AK,Juneau,3260 Hospital Dr,99801,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Fairbanks Memorial Hospital,AK,Fairbanks,1650 Cowles Street,99701,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Alaska Regional Hospital,AK,Anchorage,2801 Debarr Road,99508,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Central Peninsula General Hospital,AK,Soldotna,250 Hospital Place,99669,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Banner - University Medical Center Phoenix,AZ,Phoenix,1111 East Mcdowell Road,85006,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Tucson Medical Center,AZ,Tucson,5301 East Grant Road,85712,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Verde Valley Medical Center,AZ,Cottonwood,269 South Candy Lane,86326,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
St. Mary's Hospital,AZ,Tucson,1601 West St Mary's Road,85745,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Implantation Wireless PA Pressure Monitor
St Joseph's Hospital,AZ,Tucson,350 North Wilmot Road,85711,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Yavapai Regional Medical Center,AZ,Prescott,1003 Willow Creek Road,86301,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Complex GI Procedures
Yuma Regional Medical Center,AZ,Yuma,2400 South Avenue A,85364,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Honorhealth John C. Lincoln Medical Center,AZ,Phoenix,250 East Dunlap Avenue,85020,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Complex GI Procedures
Banner Casa Grande Medical Center,AZ,Casa Grande,1800 East Florence Boulevard,85122,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Valleywise Health Medical Center,AZ,Phoenix,2601 East Roosevelt Street,85008,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Flagstaff Medical Center,AZ,Flagstaff,1200 North Beaver Street,86001,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Cochlear Implant Procedure
St. Joseph's Hospital And Medical Center,AZ,Phoenix,350 West Thomas Road,85013,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Abrazo Central Campus,AZ,Phoenix,2000 West Bethany Home Road,85015,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Chandler Regional Medical Center,AZ,Chandler,1955 West Frye Road,85224,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Tempe St Lukes Hospital,AZ,Tempe,1500 S Mill Ave,85282,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Honorhealth Scottsdale Osborn Medical Center,AZ,Scottsdale,7400 East Osborn Road,85251,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Canyon Vista Medical Center,AZ,Sierra Vista,5700 East Highway 90,85635,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Kingman Regional Medical Center,AZ,Kingman,3269 Stockton Hill Road,86401,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Complex GI Procedures
Banner Boswell Medical Center,AZ,Sun City,10401 West Thunderbird Boulevard,85351,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Summit Healthcare Regional Medical Center,AZ,Show Low,2200 East Show Low Lake Road,85901,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Banner - University Medical Center Tucson Campus,AZ,Tucson,1625 North Campbell Avenue,85719,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Banner Desert Medical Center,AZ,Mesa,1400 South  Dobson Road,85202,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Havasu Regional Medical Center,AZ,Lake Havasu City,101 Civic Center Lane,86403,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Abrazo Scottsdale Campus,AZ,Phoenix,3929 East Bell Road,85032,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Northwest Medical Center,AZ,Tucson,6200 North La Cholla Boulevard,85741,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Honorhealth Scottsdale Shea Medical Center,AZ,Scottsdale,9003 East Shea Boulevard,85260,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Banner Baywood Medical Center,AZ,Mesa,6644 East Baywood Avenue,85206,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Banner Thunderbird Medical Center,AZ,Glendale,5555 West Thunderbird Road,85306,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Honorhealth Deer Valley Medical Center,AZ,Phoenix,19829 North 27th Avenue,85027,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Complex GI Procedures
Banner Del E. Webb Medical Center,AZ,Sun City West,14502 West Meeker Boulevard,85375,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Abrazo Arrowhead Campus,AZ,Glendale,18701 North 67th Avenue,85308,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Western Arizona Regional Medical Center,AZ,Bullhead City,2735 Silver Creek Road,86442,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Implantation of Drug Infusion Device
Mayo Clinic Hospital,AZ,Phoenix,5777 East Mayo Boulevard,85054,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Cochlear Implant Procedure
Banner Heart Hospital,AZ,Mesa,6750 East Baywood Avenue,85206,Comprehensive Observation Services | Implantation Wireless PA Pressure Monitor | Level 1 Endovascular Procedures
Arizona Spine And Joint Hospital,AZ,Mesa,4620 East Baseline Road,85206,Level 1 Nerve Procedures | Level 1 Neurostimulator and Related Procedures | Level 2 Excision/ Biopsy/ Incision and Drainage
The Core Institute Specialty Hospital,AZ,Phoenix,6501 North 19th Avenue,85015,Level 1 Nerve Procedures | Level 1 Neurostimulator and Related Procedures | Level 2 Excision/ Biopsy/ Incision and Drainage
Abrazo West Campus,AZ,Goodyear,13677 West Mcdowell Road,85395,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Banner-University Medical Center South Campus,AZ,Tucson,2800 East Ajo Way,85713,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Arizona Specialty Hospital,AZ,Chandler,"2905 West Warner Road, Suite 1",85224,Abdominal/Peritoneal/Biliary and Related Procedures | Level 1 Laparoscopy and Related Services | Level 1 Nerve Procedures
Oro Valley Hospital,AZ,Oro Valley,1551 East Tangerine Road,85755,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Banner Estrella Medical Center,AZ,Phoenix,9201 West Thomas Road,85037,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Valley View Medical Center,AZ,Fort Mohave,5330 South Highway 95,86426,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Mercy Gilbert Medical Center,AZ,Gilbert,3555 South Val Vista Drive,85297,Abdominal/Peritoneal/Biliary and Related Procedures | Ancillary Outpatient Services When Patient Dies | Complex GI Procedures
"Mountain Vista Medical Center, Lp",AZ,Mesa,1301 South Crismon Road,85209,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Banner Gateway Medical Center,AZ,Gilbert,1900 North Higley Road,85234,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Honorhealth Scottsdale Thompson Peak Med Ctr,AZ,Scottsdale,7400 East Thompson Peak Parkway,85255,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Banner Ironwood Medical Center,AZ,Queen Creek,37000 North Gantzel Road,85140,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
O.A.S.I.S. Hospital,AZ,Phoenix,750 North 40th Street,85008,Level 1 Nerve Procedures | Level 1 Neurostimulator and Related Procedures | Level 2 Excision/ Biopsy/ Incision and Drainage
Banner Goldfield Medical Center,AZ,Apache Junction,2050 West Southern Avenue,85120,Comprehensive Observation Services | Level 1 Laparoscopy and Related Services | Level 2 Excision/ Biopsy/ Incision and Drainage
Dignity Health - Arizona General Hospital,AZ,Laveen,7171 South 51st Avenue,85339,Comprehensive Observation Services | Level 1 Intraocular Procedures | Level 1 Laparoscopy and Related Services
Western Regional Medical Center,AZ,Goodyear,14200 West Celebrate Life Way,85338,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Dignity Health Arizona General Hospital,AZ,Mesa,9130 East Elliot Road,85212,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Laparoscopy and Related Services
Heart Health Center Llc,AZ,Phoenix,"1848 East Thomas Road, Suite #200",85016,Level 1 Electrophysiologic Procedures | Level 1 Endovascular Procedures | Level 2 Electrophysiologic Procedures
The Eye Clinic,AZ,Cottonwood,"401 Calvary Way, Suite D",86326,Level 1 Intraocular Procedures | Level 2 Musculoskeletal Procedures | Level 2 Upper GI Procedures
Forest Canyon Endoscopy & Surgery Center Pc,AZ,Flagstaff,560 North Switzer Canyon Drive,86001,Abdominal/Peritoneal/Biliary and Related Procedures | Level 2 Neurostimulator and Related Procedures | Level 2 Upper GI Procedures
Honorhealth Sonoran Crossing Medical Center,AZ,Phoenix,33400 North 32nd Avenue,85085,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Laparoscopy and Related Services
Banner Ocotillo Medical Center,AZ,Chandler,1405 South Alma School Road,85286,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Northwest Medical Center Sahuarita,AZ,Sahuarita,16260 South Rancho Sahuarita Boulevard,85629,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Endovascular Procedures
"Heart And Vascular Surgical Center, Llc",AZ,Mesa,"4860 E Basline Rd, Ste 102",85206,Level 1 ICD and Similar Procedures | Level 2 ICD and Similar Procedures | Level 2 Pacemaker and Similar Procedures
Peak Surgery Center Of Avondale,AZ,Avondale,"10825 W Mcdowel Rd, Suite 320",85392,Level 1 Endovascular Procedures | Level 1 ICD and Similar Procedures | Level 2 Electrophysiologic Procedures
Exceptional Community Hospital - Maricopa,AZ,Maricopa,19060 North John Wayne Parkway,85139,Comprehensive Observation Services | Level 2 Musculoskeletal Procedures
East Valley Er & Hospital,AZ,Gilbert,5656 South Power Rd,85295,Comprehensive Observation Services | Level 2 Musculoskeletal Procedures | Level 2 Vascular Procedures
Exceptional Community Hospital Yuma,AZ,Yuma,2648 South Araby Rd,85365,Comprehensive Observation Services | Level 2 Excision/ Biopsy/ Incision and Drainage | Level 2 Musculoskeletal Procedures
Phoenix Children's Hospital,AZ,Phoenix,1919 East Thomas Road,85016,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Intraocular Procedures
Siloam Springs Regional Hospital,AR,Siloam Springs,603 North Progress Avenue,72761,Abdominal/Peritoneal/Biliary and Related Procedures | Comprehensive Observation Services | Level 1 Breast/Lymphatic Surgery and Related Procedures
Johnson Regional Medical Center,AR,Clarksville,1100 East Poplar Street,72830,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Washington Regional Medical Center,AR,Fayetteville,3215 N North Hills Boulevard,72703,Abdominal/Peritoneal/Biliary and Related Procedures | Complex GI Procedures | Comprehensive Observation Services
Chi St Vincent Infirmary,AR,Little Rock,Two St Vincent Circle,72205,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Mercy Hospital Northwest Arkansas,AR,Rogers,2710 South Rife Medical Lane,72758,Abdominal/Peritoneal/Biliary and Related Procedures | Cochlear Implant Procedure | Complex GI Procedures
Chambers Memorial Hospital,AR,Danville,719 Detroit Street,72833,Comprehensive Observation Services | Level 1 Intraocular Procedures | Level 1 Laparoscopy and Related Services
