hospital_name,__key,detail_url,detail_name,detail_address,detail_city,detail_state,detail_zip,detail_phone,detail_hospital_type,detail_emergency_services,detail_mortality_overall_text,detail_mortality_overall_percent,detail_mortality_overall_direction,detail_mortality_heart_attack_percent,detail_mortality_stroke_percent,detail_mortality_heart_failure_percent,detail_mortality_pneumonia_percent,detail_c_diff_cases,detail_mrsa_cases,detail_avg_time_in_ed_minutes,detail_overall_patient_rating,detail_positive_patient_ratings,detail_negative_patient_ratings,State,County,ed_minutes_rating,detail_overall_patient_rating_points,mortality_overall_contribution,total_quality_points,adj_total_heartattack,adj_total_stroke,adj_total_heartfailure,adj_total_pneu
Buchanan County Health Center,buchanan county health center,https://www.hospitalstats.org/hospital-ratings/buchanan-county-health-center-independence-ia.htm,Buchanan County Health Center Ratings,1600 First St East,Independence,IA,50644,(319) 332-0999,Critical Access Hospitals,YES,6% better,6.0,better,,,,17.1,0.0,0.0,96.0,POOR,Rooms were often quiet at night,,IA,Buchanan,wait time rating not available,5,6% better (±0),5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5",2
Buena Vista Regional Medical Center,buena vista regional medical center,https://www.hospitalstats.org/hospital-ratings/buena-vista-regional-medical-center-storm-lake-ia.htm,Buena Vista Regional Medical Center Ratings,1525 West 5th Street,Storm Lake,IA,50588,(712) 732-4030,Critical Access Hospitals,YES,15% worse,15.0,worse,,,14.8,20.7,0.0,0.0,160.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,,IA,Buena Vista,wait time rating not available,10,15% worse (±1),9,"no data for specific chief complaint, quality point remains at 9","no data for specific chief complaint, quality point remains at 9",7,5
Stewart Memorial Community Hospital,stewart memorial community hospital,https://www.hospitalstats.org/hospital-ratings/stewart-memorial-community-hospital-lake-city-ia.htm,Stewart Memorial Community Hospital Ratings,1301 West Main Street,Lake City,IA,51449,(712) 464-3171,Critical Access Hospitals,YES,13% worse,13.0,worse,,,,20.8,0.0,0.0,108.0,POOR,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IA,Calhoun,wait time rating not available,5,13% worse (±1),4,"no data for specific chief complaint, quality point remains at 4","no data for specific chief complaint, quality point remains at 4","no data for specific chief complaint, quality point remains at 4",0
St Anthony Regional Hospital & Nursing Home,st anthony regional hospital & nursing home,https://www.hospitalstats.org/hospital-ratings/st-anthony-regional-hospital-nursing-home-carroll-ia.htm,St Anthony Regional Hospital & Nursing Home Ratings,311 South Clark Street,Carroll,IA,51401,(712) 792-3581,Acute Care Hospitals,YES,20% worse,20.0,worse,,14.3,16.4,24.2,2.0,1.0,120.0,VERY GOOD,Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IA,Carroll,wait time rating not available,10,20% worse (±1),9,"no data for specific chief complaint, quality point remains at 9",7,6,5
Cass County Memorial Hospital,cass county memorial hospital,https://www.hospitalstats.org/hospital-ratings/cass-county-memorial-hospital-atlantic-ia.htm,Cass County Memorial Hospital Ratings,1501 East Tenth Street,Atlantic,IA,50022,(712) 243-3250,Critical Access Hospitals,YES,5% better,5.0,better,,,10.3,18.4,2.0,0.0,87.0,VERY GOOD,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Patients usually receive help when they request it; Rooms and facilities are usually clean,,IA,Cass,wait time rating not available,10,5% better (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",8,7
Mercyone North Iowa Medical Center,mercyone north iowa medical center,https://www.hospitalstats.org/hospital-ratings/mercyone-north-iowa-medical-center-mason-city-ia.htm,Mercyone North Iowa Medical Center Ratings,1000 Fourth Street Sw,Mason City,IA,50401,(641) 428-7000,Acute Care Hospitals,YES,4% worse,4.0,worse,11.5,15.2,13.0,19.1,4.0,2.0,179.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IA,Cerro Gordo,wait time rating not available,7,4% worse (±0),7,5,4,5,4
Cherokee Regional Medical Center,cherokee regional medical center,https://www.hospitalstats.org/hospital-ratings/cherokee-regional-medical-center-cherokee-ia.htm,Cherokee Regional Medical Center Ratings,300 Sioux Valley Drive,Cherokee,IA,51012,(712) 225-5101,Critical Access Hospitals,YES,19% worse,19.0,worse,,,16.0,20.9,1.0,0.0,109.0,AVERAGE,Rooms and facilities are usually clean; Rooms were often quiet at night,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IA,Cherokee,wait time rating not available,7,19% worse (±1),6,"no data for specific chief complaint, quality point remains at 6","no data for specific chief complaint, quality point remains at 6",3,2
Mental Health Institute,mental health institute,https://www.hospitalstats.org/hospital-ratings/mental-health-institute-cherokee-ia.htm,Mental Health Institute Ratings,1251 North Cedar Loop,Cherokee,IA,51012,(712) 225-2594,Psychiatric,YES,,,,,,,,,,0.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Cherokee,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Mercy Medical Center-New Hampton,mercy medical center-new hampton,https://www.hospitalstats.org/hospital-ratings/mercy-medical-center-new-hampton-new-hampton-ia.htm,Mercy Medical Center-New Hampton Ratings,308 North Maple Avenue,New Hampton,IA,50659,(641) 394-4121,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,88.0,POOR,Rooms and facilities are usually clean; Rooms were often quiet at night,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Chickasaw,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Clarke County Hospital,clarke county hospital,https://www.hospitalstats.org/hospital-ratings/clarke-county-hospital-osceola-ia.htm,Clarke County Hospital Ratings,800 S Fillmore St,Osceola,IA,50213,(641) 342-2184,Critical Access Hospitals,YES,7% worse,7.0,worse,,,11.8,20.6,0.0,0.0,113.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it,Facilities are sometimes dirty,IA,Clarke,wait time rating not available,5,7% worse (±0),5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5",3,1
Spencer Municipal Hospital,spencer municipal hospital,https://www.hospitalstats.org/hospital-ratings/spencer-municipal-hospital-spencer-ia.htm,Spencer Municipal Hospital Ratings,1200 1st Avenue East,Spencer,IA,51301,(712) 264-8300,Acute Care Hospitals,YES,1% better,1.0,better,,13.4,12.1,18.0,1.0,0.0,110.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean; Rooms were often quiet at night,,IA,Clay,wait time rating not available,10,1% better (±0),10,"no data for specific chief complaint, quality point remains at 10",8,8,7
Guttenberg Municipal Hospital,guttenberg municipal hospital,https://www.hospitalstats.org/hospital-ratings/guttenberg-municipal-hospital-guttenberg-ia.htm,Guttenberg Municipal Hospital Ratings,200 Main Street,Guttenberg,IA,52052,(563) 252-1121,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,96.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Clayton,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Mercyone Elkader Medical Center,mercyone elkader medical center,https://www.hospitalstats.org/hospital-ratings/mercyone-elkader-medical-center-elkader-ia.htm,Mercyone Elkader Medical Center Ratings,901 Davidson Street Nw,Elkader,IA,52043,(563) 245-7000,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,110.0,POOR,Rooms and facilities are usually clean,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Clayton,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Genesis Medical Center-Dewitt,genesis medical center-dewitt,https://www.hospitalstats.org/hospital-ratings/genesis-medical-center-dewitt-dewitt-ia.htm,Genesis Medical Center-Dewitt Ratings,1118 11th Street,Dewitt,IA,52742,(563) 659-4200,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,97.0,POOR,Rooms were often quiet at night,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Clinton,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Mercyone Clinton Medical Center,mercyone clinton medical center,https://www.hospitalstats.org/hospital-ratings/mercyone-clinton-medical-center-clinton-ia.htm,Mercyone Clinton Medical Center Ratings,1410 North 4th Street,Clinton,IA,52732,(563) 244-5555,Acute Care Hospitals,YES,18% worse,18.0,worse,14.1,,13.7,24.2,2.0,0.0,129.0,AVERAGE,Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IA,Clinton,wait time rating not available,7,18% worse (±1),6,4,"no data for specific chief complaint, quality point remains at 6",4,2
Dallas County Hospital,dallas county hospital,https://www.hospitalstats.org/hospital-ratings/dallas-county-hospital-perry-ia.htm,Dallas County Hospital Ratings,610 Tenth Street,Perry,IA,50220,(515) 465-3547,Critical Access Hospitals,YES,,,,,,,,2.0,0.0,110.0,POOR,Rooms were often quiet at night,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Dallas,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Davis County Hospital,davis county hospital,https://www.hospitalstats.org/hospital-ratings/davis-county-hospital-bloomfield-ia.htm,Davis County Hospital Ratings,509 North Madison Street,Bloomfield,IA,52537,(641) 664-2145,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,99.0,POOR,Rooms were often quiet at night,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Davis,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Decatur County Hospital,decatur county hospital,https://www.hospitalstats.org/hospital-ratings/decatur-county-hospital-leon-ia.htm,Decatur County Hospital Ratings,1405 Nw Church Street,Leon,IA,50144,(641) 446-4871,Critical Access Hospitals,YES,1% worse,1.0,worse,,,,18.4,0.0,0.0,107.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Decatur,wait time rating not available,5,1% worse (±0),5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5",2
Regional Medical Center,regional medical center,https://www.hospitalstats.org/hospital-ratings/regional-medical-center-manchester-ia.htm,Regional Medical Center Ratings,709 W Main Street,Manchester,IA,52057,(563) 927-3232,Critical Access Hospitals,YES,6% better,6.0,better,,,,17.2,1.0,0.0,132.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,,IA,Delaware,wait time rating not available,10,6% better (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",7
Southeast Iowa Regional Medical Center,southeast iowa regional medical center,https://www.hospitalstats.org/hospital-ratings/southeast-iowa-regional-medical-center-west-burlington-ia.htm,Southeast Iowa Regional Medical Center Ratings,1221 South Gear Avenue,West Burlington,IA,52655,(319) 768-1000,Acute Care Hospitals,YES,2% better,2.0,better,12.7,15.0,12.6,15.3,17.0,0.0,143.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IA,Des Moines,wait time rating not available,7,2% better (±0),7,5,5,5,4
Lakes Regional Healthcare,lakes regional healthcare,https://www.hospitalstats.org/hospital-ratings/lakes-regional-healthcare-spirit-lake-ia.htm,Lakes Regional Healthcare Ratings,2301 Highway 71,Spirit Lake,IA,51360,(712) 336-1230,Acute Care Hospitals,YES,4% worse,4.0,worse,,,13.7,17.6,3.0,0.0,102.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean,,IA,Dickinson,wait time rating not available,10,4% worse (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",8,7
Finley Hospital,finley hospital,https://www.hospitalstats.org/hospital-ratings/finley-hospital-dubuque-ia.htm,Finley Hospital Ratings,350 North Grandview Avenue,Dubuque,IA,52001,(563) 582-1881,Acute Care Hospitals,YES,5% better,5.0,better,11.4,12.9,11.6,17.9,1.0,1.0,150.0,VERY GOOD,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Dubuque,wait time rating not available,10,5% better (±0),10,8,8,8,7
Mercyone Dubuque Medical Center,mercyone dubuque medical center,https://www.hospitalstats.org/hospital-ratings/mercyone-dubuque-medical-center-dubuque-ia.htm,Mercyone Dubuque Medical Center Ratings,250 Mercy Drive,Dubuque,IA,52001,(563) 589-8000,Acute Care Hospitals,YES,5% better,5.0,better,11.9,12.6,12.3,17.1,0.0,0.0,178.0,VERY GOOD,,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Dubuque,wait time rating not available,10,5% better (±0),10,8,8,8,7
Mercyone Dyersville Medical Center,mercyone dyersville medical center,https://www.hospitalstats.org/hospital-ratings/mercyone-dyersville-medical-center-dyersville-ia.htm,Mercyone Dyersville Medical Center Ratings,1111 3rd Street Sw,Dyersville,IA,52040,(563) 875-7101,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,0.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Dubuque,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Avera Holy Family Hospital,avera holy family hospital,https://www.hospitalstats.org/hospital-ratings/avera-holy-family-hospital-estherville-ia.htm,Avera Holy Family Hospital Ratings,826 North 8th Street,Estherville,IA,51334,(712) 362-2631,Critical Access Hospitals,YES,7% worse,7.0,worse,,,11.7,20.5,0.0,0.0,146.0,POOR,Rooms and facilities are usually clean,,IA,Emmet,wait time rating not available,5,7% worse (±0),5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5",3,1
Gundersen Palmer Lutheran Hospital And Clinics,gundersen palmer lutheran hospital and clinics,https://www.hospitalstats.org/hospital-ratings/gundersen-palmer-lutheran-hospital-and-clinics-west-union-ia.htm,Gundersen Palmer Lutheran Hospital And Clinics Ratings,112 Jefferson Street,West Union,IA,52175,(563) 422-3811,Critical Access Hospitals,YES,7% worse,7.0,worse,,,,19.6,0.0,0.0,102.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,,IA,Fayette,wait time rating not available,5,7% worse (±0),5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5",2
Mercyone Oelwein Medical Center,mercyone oelwein medical center,https://www.hospitalstats.org/hospital-ratings/mercyone-oelwein-medical-center-oelwein-ia.htm,Mercyone Oelwein Medical Center Ratings,201 Eighth Avenue Se,Oelwein,IA,50662,(319) 283-6000,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,0.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean; Rooms were often quiet at night,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Fayette,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Floyd County Medical Center,floyd county medical center,https://www.hospitalstats.org/hospital-ratings/floyd-county-medical-center-charles-city-ia.htm,Floyd County Medical Center Ratings,800 11th St,Charles City,IA,50616,(641) 228-6830,Critical Access Hospitals,YES,14% worse,14.0,worse,,,13.5,21.2,1.0,0.0,126.0,POOR,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Patients usually receive help when they request it; Rooms and facilities are usually clean,,IA,Floyd,wait time rating not available,5,14% worse (±1),4,"no data for specific chief complaint, quality point remains at 4","no data for specific chief complaint, quality point remains at 4",2,0
Franklin General Hospital,franklin general hospital,https://www.hospitalstats.org/hospital-ratings/franklin-general-hospital-hampton-ia.htm,Franklin General Hospital Ratings,1720 Central Avenue East,Hampton,IA,50441,(641) 456-5000,Critical Access Hospitals,YES,2% worse,2.0,worse,,,,18.6,0.0,0.0,98.0,POOR,,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Franklin,wait time rating not available,5,2% worse (±0),5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5",2
George C Grape Community Hospital,george c grape community hospital,https://www.hospitalstats.org/hospital-ratings/george-c-grape-community-hospital-hamburg-ia.htm,George C Grape Community Hospital Ratings,2959 Us Highway 275,Hamburg,IA,51640,(712) 382-1515,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,109.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Fremont,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Greene County Medical Center,greene county medical center,https://www.hospitalstats.org/hospital-ratings/greene-county-medical-center-jefferson-ia.htm,Greene County Medical Center Ratings,1000 West Lincoln Way,Jefferson,IA,50129,(515) 386-2114,Critical Access Hospitals,YES,6% worse,6.0,worse,,,,19.3,0.0,0.0,114.0,POOR,Rooms and facilities are usually clean,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Greene,wait time rating not available,5,6% worse (±0),5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5",2
Grundy County Memorial Hospital,grundy county memorial hospital,https://www.hospitalstats.org/hospital-ratings/grundy-county-memorial-hospital-grundy-center-ia.htm,Grundy County Memorial Hospital Ratings,201 East J Avenue,Grundy Center,IA,50638,(319) 824-5421,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,76.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Grundy,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Guthrie County Hospital,guthrie county hospital,https://www.hospitalstats.org/hospital-ratings/guthrie-county-hospital-guthrie-center-ia.htm,Guthrie County Hospital Ratings,710 North 12th Street,Guthrie Center,IA,50115,(641) 332-2201,Critical Access Hospitals,YES,,,,,,,,,0.0,131.0,POOR,Rooms were often quiet at night,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Guthrie,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Van Diest Medical Center,van diest medical center,https://www.hospitalstats.org/hospital-ratings/van-diest-medical-center-webster-city-ia.htm,Van Diest Medical Center Ratings,2350 Hospital Drive,Webster City,IA,50595,(515) 832-9400,Critical Access Hospitals,YES,7% worse,7.0,worse,,,13.7,18.7,0.0,0.0,108.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,,IA,Hamilton,wait time rating not available,5,7% worse (±0),5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5",3,2
