"Type","Name","Location Code","Hospital Designations","NPIs","Rm, Suite, or Apt","Street Address","Street Address 2","City","State","ZIP Code","County","Country","GPS","USNG","Phones",
"Hospital","Advocate Lutheran General Hospital","0160","","","","1775 Dempster Street","","City of Park Ridge","IL","60068","Cook County","US","42.038478,-87.847611","16TDM29845439","847-723-2210",
"Hospital","Advocate Sherman Hospital","0467","","","","1425 North Randall Road","","Township of Elgin","IL","60123","Kane County","US","42.070025,-88.330942","16TCM89895840","847-742-9800",
"Hospital","Advocate South Suburban Hospital","0171","","","","17800 Kedzie Avenue","","Village of Hazel Crest","IL","60429","Cook County","US","41.566389,-87.696602","16TDM41910186","708-799-8000",
"Hospital","Advocate Trinity Hospital","6058","","","","2320 East 93rd Street","","City of Chicago","IL","60617","Cook County","US","41.726522,-87.567933","16TDM52761956","773-967-2000",
"Hospital","AMITA Health Alexian Brothers Behavioral Health Hospital Hoffman Estates","0181","","","","1650 Moon Lake Boulevard","","Village of Hoffman Estates","IL","60169","Cook County","US","42.054073,-88.137298","16TDM05895640","800-432-5005",
"Hospital","Alexian Brothers Medical Center","0145","","","","800 Biesterfield Road","","Village of Elk Grove Village","IL","60007","Cook County","US","42.005405,-88.015517","16TDM15905087","847-437-5500",
"Hospital","Alton Memorial Hospital","0653","","","","1 Memorial Drive","","Township of Alton","IL","62002","Madison County","US","38.899548,-90.159157","15SYD46360946","618-463-7311",
"Hospital","AMITA Health Adventist Medical Center Bolingbrook","1031","","","","500 Remington Boulevard","","Village of Bolingbrook","IL","60440","Will County","US","41.680797,-88.084733","16TDM09711490","630-312-5000",
"Hospital","AMITA Health Saint Joseph Hospital Elgin","0468","","","","77 North Airlite Street","","Township of Elgin","IL","60123","Kane County","US","42.035704,-88.325753","16TCM90265459","847-695-3200",
"Hospital","AMITA Health Mercy Medical Center Aurora","0466","","","","1325 North Highland Avenue","","Township of Aurora","IL","60506","Kane County","US","41.785430,-88.325953","16TCM89812680","630-859-2222",
"Hospital","AMITA Health St. Mary's Hospital Kankakee","0482","","","","500 West Court Street","","Township of Kankakee","IL","60901","Kankakee County","US","41.120394,-87.872007","16TDL26795248","815-937-2400",
"Hospital","Anderson Hospital","0655","","","","6800 Illinois 162","","Village of Maryville","IL","62062","Madison County","US","38.736847,-89.946226","16SBH43919169","618-288-5711",
"Hospital","Ann & Robert H. Lurie Children's Hospital of Chicago","6017","","","","225 East Chicago Avenue","","City of Chicago","IL","60611","Cook County","US","41.896222,-87.621834","16TDM48413844","312-227-4000",
"Hospital","Aurora Lakeland Medical Center","9647","","","","W3985 County Road NN","","City of Elkhorn","WI","53121","Walworth County","US","42.661227,-88.496108","16TCN77382428","262-741-2000",
"Hospital","Aurora Medical Center Kenosha","9645","","","","10400 75th Street","","City of Kenosha","WI","53142","Kenosha County","US","42.569948,-87.935472","16TDN23221348","262-948-5600",
"Hospital","Memorial Hospital-Burlington","9646","","","","252 McHenry Street","","City of Burlington","WI","53105","Racine County","US","42.672694,-88.281381","16TCN95002526","262-767-6000",
"Hospital","Barnes-Jewish West County Hospital","9628","","","","12634 Olive Boulevard","","","MO","63141","","US","38.675598,-90.468085","15SYC20258382","314-996-8000",
"Hospital","Barnes Jewish Hospital Psychiatric Care","9608","","","","5355 Delmar Boulevard","","","MO","63112","","US","38.653355,-90.275105","15SYC37128183","314-273-0040",
"Hospital","Barnes-Jewish Hospital","9632","","","","1 Barnes Jewish Hospital Plaza","","","MO","63110","","US","38.637754,-90.264146","15SYC38128013","314-747-3000",
"Hospital","Beloit Memorial Hospital","9640","","","","1969 West Hart Road","","Town of Beloit","WI","53511","Rock County","US","42.548853,-89.008010","16TCN35131267","608-364-5011",
"Hospital","Birth Center at PCC","0183","","","","6201 Roosevelt Road","","Township of Oak Park","IL","60304","Cook County","US","41.865026,-87.779142","16TDM35333508","708-386-0845",
"Hospital","Birth Center of Bloomington Normal","0618","","","","6 Westport Court","","Township of Bloomington","IL","61704","McLean County","US","40.489510,-88.940414","16TCK35558389","309-722-4020",
"Hospital","Blessing Hospital at 11th Street","0001","","","","1005 Broadway Street","","Township of Quincy","IL","62301","Adams County","US","39.937038,-91.399544","15SXE36742199","217-223-1200",
"Hospital","Blessing Hospital at 14th Street","0003","","","","1415 Vermont St","","Township of Quincy","IL","62301","Adams County","US","39.937038,-91.399544","15SXE36742199","217-223-1200",
"Hospital","Bloomington Meadows Hospital","9655","","","","3600 North Prow Road","","City of Bloomington","IN","47404","Monroe County","US","39.205907,-86.551191","16SEJ38753972","812-331-8000",
"Hospital","Carle Foundation Hospital","0083","","","","611 West Park Street","","Township of Urbana","IL","61801","Champaign County","US","40.116971,-88.215555","16TCK96414144","217-383-3311",
"Hospital","Carle Hoopeston Regional Health Center","0944","","","","701 East Orange Street","","City of Hoopeston","IL","60942","Vermilion County","US","40.458644,-87.659874","16TDK44057887","217-283-5531",
"Hospital","Carle Richland Memorial Hospital","0818","","","","800 East Locust Street","","City of Olney","IL","62450","Richland County","US","38.736453,-88.077557","16SDH06348808","618-395-2131",
"Hospital","Carlinville Area Hospital","0641","","","","20733 North Broad Street","","Township of Carlinville","IL","62626","Macoupin County","US","39.298919,-89.882999","16SBJ51385391","217-854-3141",
"Hospital","CenterPointe Hospital","9620","","","","4801 Weldon Spring Parkway","","City of Saint Charles","MO","63304","Saint Charles County","US","38.715032,-90.671937","15SYC02408772","800-345-5407",
"Hospital","CGH Medical Center","1014","","","","100 East Le Fevre Road","","City of Sterling","IL","61081","Whiteside County","US","41.802655,-89.696854","16TBM75953138","815-625-0400",
"Hospital","Memorial Hospital Chester","0803","","","","1900 State Street","","Township of Chester","IL","62233","Logan County","US","37.917173,-89.813737","16SBH52650035","618-826-4581",
"Hospital","Chicago Behavioral Hospital","0149","","","","555 Wilson Lane","","City of Des Plaines","IL","60016","Cook County","US","42.043617,-87.879055","16TDM27245499","844-756-8600",
"Hospital","CHICAGO CENTER HOSPTIAL","6012","","","","","","","","","","","","","",
"Hospital","Chicago Lakeshore Hospital","6013","","","","4840 North Marine Drive","","City of Chicago","IL","60640","Cook County","US","41.970314,-87.650581","16TDM46094668","773-878-9700",
"Hospital","Chicago-Read Mental Health Center","6016","","","","4200 North Oak Park Avenue","","City of Chicago","IL","60634","Cook County","US","41.955311,-87.799240","16TDM33764512","773-794-4000",
"Hospital","Children's Hospital Of Wisconsin","9639","","","","8915 West Connell Court","","City of Milwaukee","WI","53226","Milwaukee County","US","43.042398,-88.024062","16TDN16586603","414-266-2000",
"Hospital","Christian Northeast Hospital","9612","","","","11133 Dunn Road","","","MO","63136","","US","38.776651,-90.240151","15SYC39749560","314-653-5000",
"Hospital","Clay County Hospital","0110","","","","911 Stacey Burk Drive","","Township of Flora","IL","62839","Boone County","US","38.680855,-88.472770","16SCH71898239","618-662-2131",
"Hospital","Community First Medical Center","6044","","","","5645 West Addison Street","","City of Chicago","IL","60634","Cook County","US","41.945616,-87.767960","16TDM36344402","773-282-7000",
"Hospital","Community Hospital Munster IN","9461","","","","901 Macarthur Boulevard","","Town of Munster","IN","46321","Lake County","US","41.550178,-87.505540","16TDL57839995","219-836-1600",
"Hospital","Community Hospital of Staunton","0642","","","","Caldwell Street","","Township of Staunton","IL","62088","Macoupin County","US","39.015394,-89.789400","16SBJ58492218","618-635-2200",
"Hospital","Crawford Memorial Hospital","0190","","","","1000 North Allen Street","","City of Robinson","IL","62454","Crawford County","US","39.014540,-87.749985","16SDJ35071865","618-544-3131",
"Hospital","Crossroads Community Hospital","0416","","","","8 Doctors Park Road","","City of Mount Vernon","IL","62864","Jefferson County","US","38.312022,-88.936972","16SCH30654221","618-244-5500",
"Hospital","Deaconess Hospital Evansville IN","9453","","","","617 West Delaware Street","","City of Evansville","IN","47710","Vanderburgh County","US","37.984122,-87.572156","16SDH49750420","",
"Hospital","Deaconess Gateway Hospital","9457","","","","4011 Gateway Boulevard","","Town of Newburgh","IN","47630","Warrick County","US","37.973993,-87.445605","16SDH60860302","812-842-2000",
"Hospital","Decatur Memorial Hospital","0629","","","","2300 North Edward Street","","Township of Decatur","IL","62526","Macon County","US","39.867587,-88.961692","16SCK32221490","217-876-8121",
"Hospital","St. Luke's Des Peres Hospital","9629","","","","2345 Dougherty Ferry Road","","","MO","63122","","US","38.584161,-90.451887","15SYC21947371","314-966-9100",
"Hospital","Dr John Warner Hospital","0214","","","","422 West White Street","","Township of Clinton","IL","61727","DeKalb County","US","40.148397,-88.964667","16TCK32654607","217-935-9571",
"Hospital","Edward Hines","0153","","","","5000 5th Avenue","","Hines","IL","60141","Cook County","US","41.858140,-87.840243","16TDM30253436","708-202-8387",
"Hospital","Endeavor Edward Hospital","0237","","","","801 South Washington Street","","City of Naperville","IL","60540","DuPage County","US","41.760659,-88.153422","16TDM04112384","630-527-3000",
"Hospital","Endeavor Elmhurst Hospital","0238","","","","155 East Brush Hill Road","","City of Elmhurst","IL","60126","DuPage County","US","41.864020,-87.935868","16TDM22323510","331-221-1000",
"Hospital","Fairfield Memorial Hospital","0992","","","","303 Northwest 11th Street","","Township of Fairfield","IL","62837","Bureau County","US","38.381233,-88.375229","16SCH79884901","618-842-2611",
"Hospital","Fayette County Hospital","0275","","","","650 West Taylor Street","","City of Vandalia","IL","62471","Fayette County","US","38.970095,-89.098854","16SCJ18171555","618-283-1231",
"Hospital","Ferrell Hospital","0860","","","","1201 Pine Street","","Township of Eldorado","IL","62930","McDonough County","US","37.815584,-88.441962","16SCG73078633","618-273-3361",
"Hospital","FHN Memorial Hospital","0909","","","","1045 West Stephenson Street","","Township of Freeport","IL","61032","Stephenson County","US","42.295101,-89.639135","16TBM82438591","877-600-0346",
"Hospital","Forest Park Hospital  (CLOSED)","9636","","","","","","","","","","","","","",
"Hospital","Fort Madison Community Hospital","9535","","","","5445 Avenue O","","City of Fort Madison","IA","52627","Lee County","US","40.625784,-91.384441","15TXE36639847","319-372-6530",
"Hospital","Franciscan Health Munster IN","9459","","","","701 Superior Avenue","","Town of Munster","IN","46321","Lake County","US","41.537695,-87.511916","16TDL57299857","219-922-4200",
"Hospital","Franciscan Health Chicago Heights (CLOSED)","0175","","","","","","","","","","","","","",
"Hospital","Franciscan Health Olympia Fields","0167","","","","Crawford Avenue","","Village of Olympia Fields","IL","60461","Cook County","US","41.523241,-87.710796","16TDL40699708","708-747-4000",
"Hospital","Franklin Hospital","0299","","","","201 Bailey Lane","","Township of Benton","IL","62812","Franklin County","US","38.009847,-88.918390","16SCH31580864","618-439-3161",
"Hospital","Froedtert Hospital Milwaukee","9643","","","","900 North 92nd Street","","City of Milwaukee","WI","53226","Milwaukee County","US","43.040833,-88.026128","16TDN16416586","414-805-3000",
"Hospital","GALESBURG COTTAGE HOSPITAL","0493","","","","","","","","","","","","","",
"Hospital","Garfield Park Hospital","6051","","","","520 North Ridgeway Avenue","","City of Chicago","IL","60624","Cook County","US","41.890814,-87.720109","16TDM40263790","773-265-3700",
"Hospital","Gateway Regional Medical Center","0657","","","","2100 Madison Avenue","","City of Granite City","IL","62040","Madison County","US","38.701364,-90.143818","15SYC48388751","618-798-3000",
"Hospital","Genesis Medical Center - Silvis","0831","","","","801 Illini Drive","","City of Silvis","IL","61282","Rock Island County","US","41.494335,-90.418514","15TYF15489685","309-281-4000",
"Hospital","Genesis Medical Center - Aledo","0705","","","","409 Northwest 9th Avenue","","City of Aledo","IL","61231","Mercer County","US","41.205452,-90.759634","15TXF87836398","309-582-9100",
"Hospital","Genesis Medical Center Davenport IA","9536","","","","1227 East Rusholme Street","","City of Davenport","IA","52803","Scott County","US","41.541637,-90.556646","15TYG03800176","563-421-1000",
"Hospital","Gibson Area Hospital","0287","","","","1120 North Melvin Street","","City of Gibson City","IL","60936","Ford County","US","40.478419,-88.370231","16TCK83858176","217-784-4251",
"Hospital","Good Samaritan Hospital Vincennes IN","9460","","","","520 South 7th Street","","City of Vincennes","IN","47591","Knox County","US","38.672813,-87.533206","16SDH53618060","812-882-5220",
"Hospital","SSM Health Good Samaritan Hospital - Mt. Vernon","0415","","","","1 Good Samaritan Way","","City of Mount Vernon","IL","62864","Jefferson County","US","38.297108,-88.938940","16SCH30444055","618-242-4600",
"Hospital","Gottlieb Memorial Hospital","0152","","","","701 West North Avenue","","Village of Melrose Park","IL","60160","Cook County","US","41.910205,-87.841809","16TDM30184014","708-681-3200",
"Hospital","Graham Health System Canton","0311","","","","210 West Walnut Street","","Township of Canton","IL","61520","Fulton County","US","40.552818,-90.039028","15TYE50719333","309-647-5240",
"Hospital","Great River Medical Center Burlington IA","9533","","","","1221 South Gear Avenue","","City of West Burlington","IA","52655","Des Moines County","US","40.809328,-91.173707","15TXF54031919","319-768-1000",
"Hospital","Hamilton Memorial Hospital District","0345","","","","611 South Marshall Avenue","","Township of McLeansboro","IL","62859","Hamilton County","US","38.086763,-88.540473","16SCH64901656","618-643-2361",
"Hospital","Hammond-Henry Hospital","0379","","","","600 North College Avenue","","Township of Geneseo","IL","61254","Henry County","US","41.460065,-90.157838","15TYF37379373","309-944-6431",
"Hospital","Hardin County General Hospital & Clinic","0368","","","","6 Ferrell Road","","City of Rosiclare","IL","62982","Hardin County","US","37.422146,-88.351627","16SCG80404256","618-285-6634",
"Hospital","Harrisburg Medical Center","0861","","","","","","Township of Harrisburg","IL","62946","Saline County","US","37.738241,-88.547289","16SCG63667789","",
"Hospital","Harsha Behavioral Center Terre Haute IN","9656","","","","1980 East Woodsmall Drive","","City of Terre Haute","IN","47802","Vigo County","US","39.376030,-87.386655","16SDJ66695857","812-298-8888",
"Hospital","Hartgrove Hospital","6082","","","","5730 West Roosevelt Road","","City of Chicago","IL","60644","Cook County","US","41.866307,-87.767493","16TDM36303521","773-413-1700",
"Hospital","Hawthorn's Childrens Psychiatric Hospital","9609","","","","1901 Pennsylvania Avenue","","","MO","63133","","US","38.686365,-90.313309","15SYC33688539","314-512-7800",
"Hospital","Heartland Regional Medical Center","1041","","","","3333 West Deyoung Street","","Township of Marion","IL","62959","Lee County","US","37.742889,-88.991470","16SCG24537915","618-998-7000",
"Hospital","Herrin Hospital","1040","","","","201 South 14th Street","","City of Herrin","IL","62948","Williamson County","US","37.800975,-89.026421","16SCG21598566","618-942-2171",
"Hospital","Hillsboro Area Hospital","0717","","","","1200 East Tremont Street","","Township of Hillsboro","IL","62049","Montgomery County","US","39.151688,-89.480913","16SBJ85613654","217-532-6111",
"Hospital","Holy Cross Hospital","6028","","","","2701 West 68th Street","","City of Chicago","IL","60629","Cook County","US","41.769115,-87.692431","16TDM42442437","773-884-9000",
"Hospital","AMITA Health Holy Family Medical Center Des Plaines","0154","","","","100 North River Road","","City of Des Plaines","IL","60016","Cook County","US","42.055358,-87.889431","16TDM26405630","847-297-1800",
"Hospital","Hopedale Medical Complex","0920","","","","107 Tremont Street","","Township of Hopedale","IL","61747","Tazewell County","US","40.418258,-89.416956","16TBK94947698","309-449-3321",
"Hospital","HSHS Good Shepherd Hospital","0898","","","","201 South Pine Street","","City of Shelbyville","IL","62565","Shelby County","US","39.405787,-88.808242","16SCJ44316336","217-774-3961",
"Hospital","HSHS Holy Family Hospital","0025","","","","200 Health Care Drive","","Township of Greenville","IL","62246","Bureau County","US","38.903066,-89.408113","16SBJ91170877","618-664-1230",
"Hospital","HSHS St. Anthony's Memorial Hospital","0264","","","","503 North Maple Street","","City of Effingham","IL","62401","Effingham County","US","39.125715,-88.550339","16SCJ65983187","217-342-2121",
"Hospital","HSHS St. Elizabeth's Hospital Belleville (CLOSED)","0847","","","","211 South 3rd Street","","Township of Belleville","IL","62220","Saint Clair County","US","38.512165,-89.987808","16SBH39486687","618-624-3668",
"Hospital","HSHS St. Elizabeth's Hospital","0851","","","","1 Saint Elizabeth's Boulevard","","","IL","62269","","US","38.583949,-89.932233","16SBH44587468","618-234-2120",
"Hospital","HSHS St. Francis Hospital","0718","","","","1215 Franciscan Drive","","City of Litchfield","IL","62056","Montgomery County","US","39.181183,-89.639090","16SBJ72044020","217-324-2191",
"Hospital","HSHS St. John's Hospital","0876","","","","800 East Carpenter Street","","City of Springfield","IL","62769","Sangamon County","US","39.804687,-89.645935","16SBK73480942","217-544-6464",
"Hospital","HSHS St. Joseph's Hospital","0122","","","","9515 Holy Cross Lane","","Township of Breese","IL","62230","Clinton County","US","38.626291,-89.523958","16SBH80287832","618-526-4511",
"Hospital","HSHS St. Joseph's Hospital","0659","","","","12866 Troxler Avenue","","Highland","IL","62249","Madison County","US","38.754634,-89.667585","16SBH68199292","618-651-2600",
"Hospital","HSHS St. Mary's Hospital","0630","","","","1800 East Lake Shore Drive","","Township of Decatur","IL","62521","Macon County","US","39.827713,-88.931704","16SCK34691042","217-464-2966",
"Hospital","Illini Community Hospital Pittsfield","0791","","","","640 West Washington Street","","Township of Pittsfield","IL","62363","Pike County","US","39.607346,-90.814819","15SXD87598645","217-285-2113",
"Hospital","St. Margaret's Health - Peru","0527","","","","925 West Street","","City of Peru","IL","61354","LaSalle County","US","41.328926,-89.125023","16TCL22167745","815-223-3300",
"Hospital","Illinois Veterans Home","0002","","","","1707 North 12th Street","","Township of Quincy","IL","62301","Adams County","US","39.954001,-91.401986","15SXE36502387","217-222-8641",
"Hospital","IU Health North Hospital Carmel IN","9664","","","","11700 North Meridian Street","","City of Carmel","IN","46032","Hamilton County","US","39.959605,-86.159408","16SEK71792361","317-688-2000",
"Hospital","UChicago Medicine Ingalls Memorial Hospital","0156","","","","1 Ingalls Drive","","City of Harvey","IL","60426","Cook County","US","41.607454,-87.659666","16TDM45030640","855-826-3878",
"Hospital","Iroquois Memorial Hospital","0392","","","","200 East Fairman Avenue","","City of Watseka","IL","60970","Iroquois County","US","40.766142,-87.731309","16TDL38271305","815-432-5841",
"Hospital","IU Health Methodist Hospital Indianapolis IN","9462","","","","1701 North Senate Avenue","","City of Indianapolis","IN","46202","Marion County","US","39.790341,-86.163356","16SEK71630482","317-962-2000",
"Hospital","Lovell Federal Health Care Center North Chicago","0514","","","","2450 Buckley Road","","City of North Chicago","IL","60064","Lake County","US","42.307412,-87.859680","16TDM29148426","847-688-1900",
"Hospital","Jackson Park Hospital & Medical Center","6034","","","","7531 South Stony Island Avenue","","City of Chicago","IL","60649","Cook County","US","41.757721,-87.584836","16TDM51382304","773-947-7500",
"Hospital","Javon Bea Hospital—Riverside","1058","","","","8201 East Riverside Boulevard","","City of Rockford","IL","61114","Winnebago County","US","42.316946,-88.960419","16TCM38448682","815-971-7000",
"Hospital","Javon Bea Hospital—Rockton","1054","","","","2400 North Rockton Avenue","","City of Rockford","IL","61103","Winnebago County","US","42.297790,-89.099141","16TCM26968497","815-971-5000",
"Hospital","Mercy Hospital Jefferson","9625","","","","1400 U.S. 61","","City of Festus","MO","63028","Jefferson County","US","38.196688,-90.393856","15SYC28213084","636-933-1000",
"Hospital","Jersey Community Hospital","0427","","","","400 Maple Summit Road","","City of Jerseyville","IL","62052","Jersey County","US","39.110413,-90.342323","15SYD29793239","618-498-6402",
"Hospital","Jesse Brown VA Medical Center","6074","","","","820 South Damen Avenue","","City of Chicago","IL","60612","Cook County","US","41.869999,-87.678190","16TDM43713556","312-569-8387",
"Hospital","Barnes-Jewish Hospital","9635","","","","1 Barnes Jewish Hospital Plaza","","","MO","63110","","US","38.637754,-90.264146","15SYC38128013","314-747-3000",
"Hospital","John H. Stroger Hospital of Cook County","6020","","","","1969 West Ogden Avenue","","City of Chicago","IL","60612","Cook County","US","41.872720,-87.673726","16TDM44093586","312-864-6000",
"Hospital","John H. Stroger Hospital of Cook Co - Ped Trauma","6021","","","","1969 West Ogden Avenue","","City of Chicago","IL","60612","Cook County","US","41.872720,-87.673726","16TDM44093586","312-864-6000",
"Hospital","Katherine Shaw Bethea Hospital","0552","","","","403 East 1st Street","","Township of Dixon","IL","61021","Lee County","US","41.844644,-89.479125","16TBM94173549","815-288-5531",
"Hospital","Kenneth Hall Regional Hospital East St Louis","0848","","","","5900 Bond Avenue","","","IL","62207","","US","38.570546,-90.107667","15SYC51987308","618-274-1900",
"Hospital","Keokuk Area Hospital","9534","","","","1600 Morgan Street","","Township of Keokuk","IA","52632","Wapello County","US","40.406853,-91.387665","15TXE36817416","319-526-8783",
"Hospital","Kindred Hospital Sycamore","0203","","","","225 Edward Street","","City of Sycamore","IL","60178","DeKalb County","US","41.982960,-88.688806","16TCM60094926","815-895-2144",
"Hospital","Kindred Chicago Central Hospital","6003","","","","4058 West Melrose Street","","City of Chicago","IL","60641","Cook County","US","41.940128,-87.728670","16TDM39594338","773-736-7000",
"Hospital","Kindred Hospital Chicago North","6068","","","","2544 West Montrose Avenue","","City of Chicago","IL","60618","Cook County","US","41.961584,-87.692887","16TDM42584574","773-267-2622",
"Hospital","Kindred Hospital St. Louis","9616","","","","4930 Lindell Boulevard","","","MO","63108","","US","38.643234,-90.263031","15SYC38208074","314-361-8700",
"Hospital","Kindred Hospital St. Louis South","9665","","","","10018 Kennerly Road","","","MO","63128","","US","38.506318,-90.384535","15SYC28066523","314-208-6000",
"Hospital","Kindred Hospital Chicago Northlake","0172","","","","365 East North Avenue","","City of Northlake","IL","60164","Cook County","US","41.906933,-87.890629","16TDM26133982","708-345-8100",
"Hospital","Kindred Chicago Lakeshore","6056","","","","6130 North Sheridan Road","","City of Chicago","IL","60660","Cook County","US","41.993583,-87.656071","16TDM45664927","773-381-1222",
"Hospital","Kindred Hospital Peoria","0759","","","","500 West Romeo B Garrett Avenue","","City of Peoria","IL","61605","Peoria County","US","40.692850,-89.600780","16TBL80240791","309-680-1500",
"Hospital","Kirby Medical Center","0780","","","","1000 Medical Center Drive","","Township of Monticello","IL","61856","Piatt County","US","40.060592,-88.558916","16TCK67043564","217-388-5226",
"Hospital","La Rabida Children’s Hospital","6035","","","","6501 South Promontory Drive","","City of Chicago","IL","60649","Cook County","US","41.777425,-87.571485","16TDM52502522","773-363-6700",
"Hospital","Lawrence County Memorial Hospital","0541","","","","2200 State Street","","City of Lawrenceville","IL","62439","Lawrence County","US","38.728844,-87.693952","16SDH39688691","618-943-1000",
"Hospital","Lincoln Prairie Behavioral Health Center Sprinfield","0878","","","","5230 South 6th Street Frontage Road East","","City of Springfield","IL","62703","Sangamon County","US","39.725775,-89.641042","16SBK73640065","217-585-1180",
"Hospital","OSF Little Company of Mary Medical Center Evergreen Park","0157","","","","2800 West 95th Street","","Village of Evergreen Park","IL","60805","Cook County","US","41.722221,-87.693012","16TDM42351916","708-422-6200",
"Hospital","Loretto Hospital","6036","","","","645 South Central Avenue","","City of Chicago","IL","60644","Cook County","US","41.872034,-87.764282","16TDM36573585","773-626-4300",
"Hospital","Louis A. Weiss Memorial Hospital","6037","","","","4646 North Marine Drive","","City of Chicago","IL","60640","Cook County","US","41.966782,-87.649821","16TDM46154629","773-878-8700",
"Hospital","Loyola University Medical Center Maywood","0150","","","","2160 South 1st Avenue","","Village of Maywood","IL","60153","Cook County","US","41.858552,-87.835100","16TDM30683440","888-584-7888",
"Hospital","MacNeal Hospital","0161","","","","3249 South Oak Park Avenue","","Township of Berwyn","IL","60402","Cook County","US","41.832142,-87.791715","16TDM34253144","708-783-9100",
"Hospital","Marianjoy Rehabilitation Hospital","0242","","","","26w171 Roosevelt Road","","City of Wheaton","IL","60187","DuPage County","US","41.853507,-88.137887","16TDM05543413","630-909-8000",
"Hospital","Marshall Browning Hospital","0768","","","","900 North Washington Street","","City of Du Quoin","IL","62832","Perry County","US","38.025145,-89.236562","16SCH03691096","618-542-2146",
"Hospital","Mason District Hospital","0683","","","","615 North Promenade Street","","City of Havana","IL","62644","Mason County","US","40.305233,-90.054116","15TYE50356580","309-543-4431",
"Hospital","Massac Memorial Hospital","0694","","","","28 Chick Street","","City of Metropolis","IL","62960","Massac County","US","37.166545,-88.739899","16SCG45521476","618-524-2176",
"Hospital","Mayo Clinic Hospital","9486","","","","5777 East Mayo Boulevard","","City of Phoenix","AZ","85054","Maricopa County","US","33.658134,-111.955340","12SVC11422466","480-342-2000",
"Hospital","McKinley Health Center","0085","","","","1109 South Lincoln Avenue","","Township of Urbana","IL","61801","Champaign County","US","40.102772,-88.219919","16TCK96023987","217-333-2700",
"Hospital","McDonough District Hospital","0591","","","","525 East Grant Street","","City of Macomb","IL","61455","McDonough County","US","40.447103,-90.664595","15TXE98058000","309-833-4101",
"Hospital","McFarland Mental Health Center","0873","","","","901 Southwind Road","","City of Springfield","IL","62703","Sangamon County","US","39.732608,-89.640235","16SBK73730141","217-786-6994",
"Hospital","Memorial Hospital Shiloh","0850","","","","1404 Cross Street","","Township of Shiloh","IL","62269","Edgar County","US","38.573674,-89.905410","16SBH46887347","618-607-1000",
"Hospital","Memorial Hospital of Lafayette County Darlington WI","9653","","","","800 Clay Street","","City of Darlington","WI","53530","Lafayette County","US","42.683697,-90.109823","15TYH36782974","608-776-4466",
"Hospital","Memorial Hospital Belleville","0846","","","","4500 Memorial Drive","","Township of Belleville","IL","62226","Saint Clair County","US","38.550522,-90.022180","15SYC59507110","618-233-7750",
"Hospital","Memorial Hospital of Carbondale","0403","","","","405 West Jackson Street","","Township of Carbondale","IL","62901","Jackson County","US","37.727374,-89.220652","16SCG04307788","618-549-0721",
"Hospital","Memorial Hospital Carthage","0357","","","","1454 North Co Road 2050","","Township of Carthage","IL","62321","Hancock County","US","40.408074,-91.113037","15TXE60117476","217-357-8500",
"Hospital","Springfield Memorial Hospital","0875","","","","701 North 1st Street","","City of Springfield","IL","62781","Sangamon County","US","39.809223,-89.655414","16SBK72690995","217-788-3000",
"Hospital","Mercy Harvard Hospital","0602","","","","901 Grant Street","","City of Harvard","IL","60033","McHenry County","US","42.426328,-88.606917","16TCM67809836","815-943-2693",
